#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.9
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.25
#Number of photons: N = 1000000
#Number of averages: N_avg = 10
#Number of R-values: N_R = 50
#Delta R: d_R = 0.025
#Seed: 5501
#
#R <eps_c> <eps_e> <eps_w> std_eps_c std_eps_e std_eps_w <<path>> std<path> <std_path> <<std_path>>
0.30000 0.0040009000 0.6641223000 0.3318768000 0.0000402753 0.0005306587 0.0005137961 1.2163843409 0.0140815887 0.7581494925 0.0263484004
0.32500 0.0039226000 0.6151444000 0.3809330000 0.0000618173 0.0005038298 0.0004767044 1.4292068743 0.0138343428 0.9603957528 0.0279703148
0.35000 0.0037426000 0.5707295000 0.4255279000 0.0000521647 0.0005012064 0.0005062559 1.6564407761 0.0278980156 1.2175612012 0.0624356194
0.37500 0.0034740000 0.5303583000 0.4661677000 0.0000610664 0.0005928095 0.0006165294 1.8688430082 0.0178792770 1.4294034358 0.0372670155
0.40000 0.0031885000 0.4934262000 0.5033853000 0.0000676351 0.0003365775 0.0003221070 2.0906042169 0.0253330836 1.6958426231 0.0488926205
0.42500 0.0029719000 0.4595993000 0.5374288000 0.0000464817 0.0005958777 0.0006133735 2.3338424879 0.0444795584 1.9992187436 0.1118972830
0.45000 0.0027569000 0.4285705000 0.5686726000 0.0000518812 0.0004584011 0.0004709938 2.5448652502 0.0465054672 2.1958461908 0.0830966619
0.47500 0.0025581000 0.3999597000 0.5974822000 0.0000456008 0.0004846956 0.0004733495 2.7687856393 0.0404112386 2.5081972298 0.0897754181
0.50000 0.0024006000 0.3735031000 0.6240963000 0.0000536930 0.0006554177 0.0006591479 2.9918188059 0.0554436257 2.7941851995 0.1700446813
0.52500 0.0022204000 0.3496679000 0.6481117000 0.0000322187 0.0003344489 0.0003380763 3.2316090815 0.0900696466 3.0125224463 0.1708259149
0.55000 0.0020768000 0.3278360000 0.6700872000 0.0000514497 0.0004345836 0.0004500711 3.4640477418 0.0498964129 3.3287991963 0.1202656526
0.57500 0.0019460000 0.3072724000 0.6907816000 0.0000493919 0.0002680179 0.0002789354 3.6773595793 0.1040941309 3.5777530561 0.1526662153
0.60000 0.0017891000 0.2886094000 0.7096015000 0.0000560009 0.0004090295 0.0003794980 3.9618111656 0.1326373085 3.9530345275 0.2358347786
0.62500 0.0016836000 0.2714523000 0.7268641000 0.0000558872 0.0004949137 0.0004849280 4.1366912133 0.0872983743 4.0490032549 0.2024099651
0.65000 0.0015842000 0.2554927000 0.7429231000 0.0000327000 0.0003743371 0.0003779375 4.3431547633 0.0921299678 4.4372873256 0.2384135967
0.67500 0.0015098000 0.2411927000 0.7572975000 0.0000355271 0.0003757103 0.0003744618 4.5994330629 0.1503036247 4.6580346610 0.2480933295
