#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 20
#Number of alpha-values: N_R = 100
#Delta alpha: d_alpha = 0.01
#Seed: 1000
#
#alpha T A L_eff
0.05000 0.7408273789 0.2999876377 5.9997527548
0.06000 0.7103606669 0.3419824564 5.6997076064
0.07000 0.6779375071 0.3887001677 5.5528595389
0.08000 0.6510009073 0.4292442430 5.3655530377
0.09000 0.6240926619 0.4714564250 5.2384047222
0.10000 0.6014233866 0.5084561222 5.0845612219
0.11000 0.5791510718 0.5461919170 4.9653810634
0.12000 0.5589769763 0.5816469940 4.8470582832
0.13000 0.5375552909 0.6207236575 4.7747973650
0.14000 0.5192100488 0.6554467594 4.6817625675
0.15000 0.5050470682 0.6831036498 4.5540243318
0.16000 0.4880770103 0.7172820775 4.4830129847
0.17000 0.4781246456 0.7378838157 4.3404930335
0.18000 0.4622178746 0.7717189091 4.2873272728
0.19000 0.4479131224 0.8031559886 4.2271367823
0.20000 0.4349693773 0.8324796473 4.1623982365
0.21000 0.4211608257 0.8647405095 4.1178119501
0.22000 0.4086707497 0.8948454601 4.0674793642
0.23000 0.3972439605 0.9232046769 4.0139333777
0.24000 0.3840875581 0.9568847364 3.9870197351
0.25000 0.3804723829 0.9663416854 3.8653667416
0.26000 0.3663944652 1.0040447521 3.8617105850
0.27000 0.3599580356 1.0217678221 3.7843252669
0.28000 0.3488289668 1.0531735435 3.7613340838
0.29000 0.3406203924 1.0769866405 3.7137470362
0.30000 0.3330072587 1.0995909913 3.6653033044
0.31000 0.3243591925 1.1259037585 3.6319476081
0.32000 0.3215095838 1.1347279262 3.5460247695
0.33000 0.3095015311 1.1727922398 3.5539158780
0.34000 0.2993223319 1.2062342533 3.5477478038
0.35000 0.2944879211 1.2225172918 3.4929065480
0.36000 0.2862084609 1.2510348493 3.4750968036
0.37000 0.2799988658 1.2729697264 3.4404587201
0.38000 0.2746824317 1.2921396425 3.4003674804
0.39000 0.2694085290 1.3115263563 3.3628880932
0.40000 0.2615402064 1.3411672543 3.3529181356
0.41000 0.2570035159 1.3586655135 3.3138183256
0.42000 0.2522825224 1.3772056988 3.2790611877
0.43000 0.2425995236 1.4163432460 3.2938215023
0.44000 0.2399058637 1.4275086673 3.2443378802
0.45000 0.2329307021 1.4570142857 3.2378095239
0.46000 0.2308183055 1.4661244340 3.1872270305
0.47000 0.2200436656 1.5139292721 3.2211261109
0.48000 0.2186684813 1.5201984799 3.1670801665
0.49000 0.2151667234 1.5363420938 3.1353920282
0.50000 0.2100345923 1.5604830368 3.1209660735
0.51000 0.2015708291 1.6016144503 3.1404204907
0.52000 0.1981541341 1.6187100963 3.1129040313
0.53000 0.1955597142 1.6318895028 3.0790367977
0.54000 0.1910513780 1.6552128922 3.0652090597
0.55000 0.1890240445 1.6658810527 3.0288746412
0.56000 0.1855789951 1.6842746379 3.0076332819
0.57000 0.1795253488 1.7174388623 3.0130506356
0.58000 0.1764772598 1.7345632503 2.9906262937
0.59000 0.1686514688 1.7799210086 3.0168152689
0.60000 0.1679000794 1.7843862420 2.9739770701
0.61000 0.1654048996 1.7993588739 2.9497686458
0.62000 0.1604428944 1.8298171978 2.9513180610
0.63000 0.1569269593 1.8519748094 2.9396425546
0.64000 0.1523902688 1.8813104908 2.9395476419
0.65000 0.1516955881 1.8858794763 2.9013530405
0.66000 0.1463649767 1.9216519359 2.9115938423
0.67000 0.1445928320 1.9338335415 2.8863187187
0.68000 0.1401553816 1.9650036029 2.8897111807
0.69000 0.1385250085 1.9767044028 2.8647889896
0.70000 0.1355761597 1.9982217324 2.8546024749
0.71000 0.1329392083 2.0178633353 2.8420610357
0.72000 0.1277361914 2.0577881462 2.8580390919
0.73000 0.1294374504 2.0445575232 2.8007637304
0.74000 0.1280906204 2.0550172937 2.7770503969
0.75000 0.1224906431 2.0997206350 2.7996275133
0.76000 0.1184076216 2.1336221866 2.8073976140
0.77000 0.1170891460 2.1448197030 2.7854801337
0.78000 0.1152744698 2.1604393006 2.7697939751
0.79000 0.1137858682 2.1734369459 2.7511860075
0.80000 0.1094051265 2.2126975303 2.7658719129
0.81000 0.1086962686 2.2191978132 2.7397503867
0.82000 0.1042304639 2.2611508327 2.7575010155
0.83000 0.1030821141 2.2722293841 2.7376257640
0.84000 0.0997079506 2.3055098605 2.7446545958
