#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.99
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 20
#Number of alpha-values: N_R = 100
#Delta alpha: d_alpha = 0.01
#Seed: 1001
#
#alpha T A L_eff
0.05000 0.5219137470 0.6502529403 13.0050588068
0.06000 0.4827961386 0.7281607877 12.1360131278
0.07000 0.4493011844 0.8000618268 11.4294546684
0.08000 0.4247513619 0.8562513122 10.7031414024
0.09000 0.3967914360 0.9243444864 10.2704942929
0.10000 0.3771340528 0.9751545769 9.7515457692
0.11000 0.3585500854 1.0256869204 9.3244265489
0.12000 0.3419084895 1.0732121524 8.9434346029
0.13000 0.3257561375 1.1216062222 8.6277401704
0.14000 0.3124735297 1.1632355183 8.3088251308
0.15000 0.3017393717 1.1981916418 7.9879442783
0.16000 0.2894425540 1.2397984334 7.7487402090
0.17000 0.2772479664 1.2828429878 7.5461352226
0.18000 0.2674411812 1.3188556202 7.3269756678
0.19000 0.2595621632 1.3487590552 7.0987318695
0.20000 0.2497553780 1.3872733280 6.9363666401
0.21000 0.2415404612 1.4207182787 6.7653251367
0.22000 0.2380281279 1.4353664279 6.5243928543
0.23000 0.2268704453 1.4833761500 6.4494615219
0.24000 0.2238984709 1.4965625847 6.2356774361
0.25000 0.2158880143 1.5329954583 6.1319818331
0.26000 0.2085712617 1.5674745136 6.0287481291
0.27000 0.2017291487 1.6008293293 5.9289975158
0.28000 0.1969900545 1.6246020364 5.8021501301
0.29000 0.1901917544 1.6597224820 5.7231809724
0.30000 0.1850875528 1.6869263077 5.6230876923
0.31000 0.1809545368 1.7095094570 5.5145466356
0.32000 0.1757115944 1.7389112965 5.4340978015
0.33000 0.1746527828 1.7449553740 5.2877435576
0.34000 0.1673798431 1.7874895395 5.2573221749
0.35000 0.1647437676 1.8033639357 5.1524683876
0.36000 0.1600703927 1.8321416061 5.0892822391
0.37000 0.1576679859 1.8472638118 4.9926048968
0.38000 0.1515195771 1.8870404409 4.9658958970
0.39000 0.1465906270 1.9201114277 4.9233626352
0.40000 0.1444364932 1.9349153613 4.8372884034
0.41000 0.1406101675 1.9617639871 4.7847902123
0.42000 0.1375578695 1.9837105811 4.7231204313
0.43000 0.1345858952 2.0055526580 4.6640759488
0.44000 0.1294013699 2.0448363105 4.6473552512
0.45000 0.1298687074 2.0412312821 4.5360695159
0.46000 0.1247279950 2.0816199529 4.5252607671
0.47000 0.1235231405 2.0913267679 4.4496314211
0.48000 0.1200327136 2.1199909598 4.4166478330
0.49000 0.1175353789 2.1410158936 4.3694201911
0.50000 0.1127670761 2.1824308613 4.3648617226
0.51000 0.1112920421 2.1955975226 4.3050931816
0.52000 0.1097731953 2.2093389029 4.2487286594
0.53000 0.1078892410 2.2266501243 4.2012266495
0.54000 0.1036247864 2.2669787267 4.1981087531
0.55000 0.1024345362 2.2785313553 4.1427842823
0.56000 0.0989587137 2.3130525496 4.1304509815
0.57000 0.0977976721 2.3248545051 4.0786921143
0.58000 0.0948695106 2.3552529041 4.0607808692
0.59000 0.0932119229 2.3728796368 4.0218298930
0.60000 0.0919924642 2.3860486163 3.9767476939
0.61000 0.0895462445 2.4130000888 3.9557378504
0.62000 0.0865815723 2.4466682771 3.9462391566
0.63000 0.0847414309 2.4681506478 3.9176994410
0.64000 0.0833175120 2.4850965237 3.8829633182
0.65000 0.0821637726 2.4990407969 3.8446781491
0.66000 0.0800534517 2.5250607209 3.8258495770
0.67000 0.0781841018 2.5486889544 3.8040133647
0.68000 0.0783009361 2.5471957203 3.7458760593
0.69000 0.0754092854 2.5848248629 3.7461229896
0.70000 0.0741825245 2.6012266754 3.7160381078
0.71000 0.0720210886 2.6307963056 3.7053469093
0.72000 0.0706774933 2.6496280974 3.6800390241
0.73000 0.0686913090 2.6781325946 3.6686747871
0.74000 0.0671797643 2.7003832035 3.6491664912
0.75000 0.0663911323 2.7121917816 3.6162557087
0.76000 0.0645655952 2.7400735921 3.6053599897
0.77000 0.0631051655 2.7629526500 3.5882501948
0.78000 0.0644998759 2.7410919798 3.5142204869
0.79000 0.0613818585 2.7906409510 3.5324568999
0.80000 0.0595271129 2.8213233916 3.5266542395
0.81000 0.0593591635 2.8241487728 3.4866034232
0.82000 0.0568326202 2.8676448196 3.4971278287
0.83000 0.0557811108 2.8863199830 3.4774939554
0.84000 0.0545543499 2.9085578285 3.4625688435
0.85000 0.0536269771 2.9257030342 3.4420035697
0.86000 0.0530355030 2.9367937209 3.4148764197
0.87000 0.0520424109 2.9556962990 3.3973520678
0.88000 0.0501730609 2.9922770315 3.4003148085
0.89000 0.0482891067 3.0305492788 3.4051115493
0.90000 0.0486396098 3.0233170641 3.3592411823
0.91000 0.0475881004 3.0451725402 3.3463434508
0.92000 0.0472156909 3.0530290082 3.3185097916
0.93000 0.0460692536 3.0776095022 3.3092575292
0.94000 0.0449155141 3.1029720173 3.3010340610
0.95000 0.0439881413 3.1238351970 3.2882475758
0.96000 0.0416806625 3.1777179879 3.3101229041
0.97000 0.0428563083 3.1499024260 3.2473220886
0.98000 0.0405780381 3.2045282932 3.2699268298
0.99000 0.0399208447 3.2208566676 3.2533905734
1.00000 0.0401180027 3.2159300999 3.2159300999
1.01000 0.0382267463 3.2642198432 3.2319008349
1.02000 0.0380514947 3.2688149116 3.2047205016
1.03000 0.0369196618 3.2990110307 3.2029233308
1.04000 0.0369853811 3.2972325498 3.1704159133
