#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.99
#Radius of sphere: R = 0.3
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.5
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 100000
#Number of averages: N_avg = 20
#Number of alpha-values: N_R = 100
#Delta alpha: d_alpha = 0.01
#Seed: 1002
#
#alpha T A L_eff
0.05000 0.7367604962 0.3054924109 6.1098482173
0.06000 0.7058921756 0.3482927790 5.8048796495
0.07000 0.6647662214 0.4083198469 5.8331406706
0.08000 0.6408277672 0.4449945521 5.5624319015
0.09000 0.6172590649 0.4824664649 5.3607384994
0.10000 0.5885496183 0.5300940426 5.3009404263
0.11000 0.5634303435 0.5737115671 5.2155597013
0.12000 0.5450978053 0.6067900411 5.0565836756
0.13000 0.5182490458 0.6572993689 5.0561489912
0.14000 0.5009899809 0.6911691763 4.9369226876
0.15000 0.4837070611 0.7262758012 4.8418386748
0.16000 0.4697638359 0.7555251874 4.7220324214
0.17000 0.4521469466 0.7937480490 4.6691061704
0.18000 0.4377027672 0.8262152127 4.5900845151
0.19000 0.4266579198 0.8517727113 4.4830142700
0.20000 0.4119751908 0.8867921479 4.4339607393
0.21000 0.3980200382 0.9212529278 4.3869187039
0.22000 0.3841722328 0.9566643040 4.3484741090
0.23000 0.3769680344 0.9755948846 4.2417168898
0.24000 0.3640505725 1.0104624855 4.2102603563
0.25000 0.3569417939 1.0301825528 4.1207302112
0.26000 0.3464575382 1.0599950128 4.0769038955
0.27000 0.3368439885 1.0881353978 4.0301311030
0.28000 0.3293654580 1.1105873301 3.9663833217
0.29000 0.3197519084 1.1402098701 3.9317581729
0.30000 0.3137166031 1.1592652387 3.8642174622
0.31000 0.3039599237 1.1908594163 3.8414819881
0.32000 0.2982585878 1.2097944245 3.7806075766
0.33000 0.2908874046 1.2348190125 3.7418757955
0.34000 0.2809160305 1.2696994780 3.7344102295
0.35000 0.2769918893 1.2837670537 3.6679058677
0.36000 0.2689169847 1.3133525540 3.6482015388
0.37000 0.2637404580 1.3327897730 3.6021345216
0.38000 0.2611283397 1.3427432695 3.5335349199
0.39000 0.2551049618 1.3660802035 3.5027697525
0.40000 0.2443225191 1.4092661270 3.5231653174
0.41000 0.2440481870 1.4103895854 3.4399745985
0.42000 0.2366889313 1.4410085261 3.4309726813
0.43000 0.2303435115 1.4681835562 3.4143803633
0.44000 0.2283158397 1.4770253468 3.3568757882
0.45000 0.2227218511 1.5018315903 3.3374035341
0.46000 0.2176168893 1.5250191507 3.3152590232
0.47000 0.2131679389 1.5456749782 3.2886701665
0.48000 0.2081822519 1.5693413718 3.2694611913
0.49000 0.2064646947 1.5776258514 3.2196445947
0.50000 0.1979842557 1.6195677680 3.2391355360
0.51000 0.1962547710 1.6283416118 3.1928266899
0.52000 0.1953602099 1.6329101941 3.1402119117
0.53000 0.1929747137 1.6451961155 3.1041436142
0.54000 0.1888239504 1.6669401775 3.0869262546
0.55000 0.1859613550 1.6822163959 3.0585752652
0.56000 0.1780534351 1.7256715765 3.0815563865
0.57000 0.1738549618 1.7495338801 3.0693576843
0.58000 0.1736760496 1.7505634988 3.0182129290
0.59000 0.1701574427 1.7710311367 3.0017476894
0.60000 0.1692390267 1.7764432040 2.9607386734
0.61000 0.1645395992 1.8046040129 2.9583672343
0.62000 0.1635257634 1.8107847270 2.9206205274
0.63000 0.1580271947 1.8449881427 2.9285526074
0.64000 0.1559160305 1.8584376825 2.9038088788
0.65000 0.1523020038 1.8818898621 2.8952151725
0.66000 0.1505367366 1.8935481273 2.8690123141
0.67000 0.1479126908 1.9111331061 2.8524374717
0.68000 0.1472686069 1.9154971020 2.8169075029
0.69000 0.1434160305 1.9420055681 2.8145008234
0.70000 0.1428673664 1.9458385867 2.7797694096
0.71000 0.1406011450 1.9618281557 2.7631382475
0.72000 0.1351979962 2.0010149366 2.7791874120
0.73000 0.1339813931 2.0100543459 2.7534991040
0.74000 0.1322757634 2.0228664192 2.7336032692
0.75000 0.1319060115 2.0256656445 2.7008875260
0.76000 0.1279937977 2.0557734716 2.7049650942
0.77000 0.1282681298 2.0536324422 2.6670551197
