#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.99
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 20
#Number of alpha-values: N_R = 100
#Delta alpha: d_alpha = 0.01
#Seed: 1001
#
#alpha <eps_c> <eps_e> <eps_w> std_eps_c std_eps_e std_eps_w <<path>> std<path> <std_path> <<std_path>>
0.05000 0.0035737000 0.2476971000 0.7487292000 0.0000619772 0.0003404726 0.0003360476 8.4198883496 0.1798818703 10.2701182724 0.3349687736
0.06000 0.0033058500 0.2196559000 0.7770382500 0.0000614768 0.0003228953 0.0003481642 7.4548185395 0.1693939391 8.9969170474 0.2243681471
0.07000 0.0030765000 0.1968966500 0.8000268500 0.0000569289 0.0003687877 0.0003685737 6.7204757182 0.1702414691 8.0902838470 0.2352256840
0.08000 0.0029084000 0.1780173500 0.8190742500 0.0000593379 0.0003952075 0.0003966969 6.1309329043 0.1193511345 7.3619838860 0.1769950767
0.09000 0.0027169500 0.1618543500 0.8354287000 0.0000589902 0.0003114442 0.0003230948 5.6220166818 0.1203266191 6.5749517893 0.2343707402
0.10000 0.0025823500 0.1481476000 0.8492700500 0.0000470512 0.0003074890 0.0003110802 5.2635041936 0.1374118439 6.1100072874 0.2739258286
0.11000 0.0024551000 0.1363354500 0.8612094500 0.0000630705 0.0003100142 0.0003304838 4.9044177788 0.1200593260 5.5519314257 0.1667744006
0.12000 0.0023411500 0.1259840000 0.8716748500 0.0000318636 0.0002975898 0.0003053919 4.5722668094 0.0934687292 5.1000428197 0.2144406642
0.13000 0.0022305500 0.1168624500 0.8809070000 0.0000579941 0.0003167141 0.0003030293 4.3809240773 0.1224666292 4.7976572879 0.1721287422
0.14000 0.0021396000 0.1090238000 0.8888366000 0.0000486290 0.0002694991 0.0002788488 4.1721277694 0.1088569341 4.4688154655 0.1933459088
0.15000 0.0020661000 0.1016467000 0.8962872000 0.0000459449 0.0002829038 0.0002964889 3.9582149549 0.1062317868 4.1519769546 0.2142872679
0.16000 0.0019819000 0.0953601000 0.9026580000 0.0000419572 0.0003722284 0.0003826561 3.7727711299 0.0781662632 3.8877532787 0.1484560517
0.17000 0.0018984000 0.0894611000 0.9086405000 0.0000376695 0.0002808500 0.0002943876 3.6513038168 0.0880800920 3.7028938413 0.1704159470
0.18000 0.0018312500 0.0842607000 0.9139080500 0.0000483092 0.0002696085 0.0002895515 3.5204622899 0.0856792284 3.4700442080 0.1983963700
0.19000 0.0017773000 0.0793934000 0.9188293000 0.0000381412 0.0001913301 0.0001866759 3.3931549842 0.0634120413 3.2384165809 0.1192480295
0.20000 0.0017101500 0.0750467500 0.9232431000 0.0000501695 0.0003031895 0.0003115293 3.3212500836 0.0736242326 3.0897794374 0.1319363674
0.21000 0.0016539000 0.0709929500 0.9273531500 0.0000313250 0.0002360081 0.0002295355 3.2016836409 0.0628735547 2.8766216968 0.1253146543
0.22000 0.0016298500 0.0673130500 0.9310571000 0.0000356064 0.0002568201 0.0002566033 3.1363270024 0.0639554454 2.8065695960 0.1545849574
0.23000 0.0015534500 0.0638831500 0.9345634000 0.0000507341 0.0002565230 0.0002521550 3.0477664471 0.0817781752 2.6430943827 0.1398401177
0.24000 0.0015331000 0.0608077500 0.9376591500 0.0000326753 0.0001803266 0.0001727807 2.9667833123 0.0796902798 2.5002913006 0.1677994634
0.25000 0.0014782500 0.0578520500 0.9406697000 0.0000341419 0.0001555417 0.0001621491 2.9238552721 0.0763961012 2.3844367035 0.1882398364
0.26000 0.0014281500 0.0552085500 0.9433633000 0.0000473512 0.0002102754 0.0002136951 2.8600079536 0.0715610057 2.3114293570 0.1446620718
