#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.99
#Radius of sphere: R = 0.3
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.5
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 100000
#Number of averages: N_avg = 20
#Number of alpha-values: N_R = 100
#Delta alpha: d_alpha = 0.01
#Seed: 1002
#
#alpha <eps_c> <eps_e> <eps_w> std_eps_c std_eps_e std_eps_w <<path>> std<path> <std_path> <<std_path>>
0.05000 0.0308850000 0.5509565000 0.4181585000 0.0006522229 0.0017192724 0.0016174615 5.2119694362 0.1161713683 5.0992198264 0.1663722144
0.06000 0.0295910000 0.5194330000 0.4509760000 0.0004502035 0.0016706321 0.0017023927 4.9573067453 0.1288463189 4.8340863709 0.1607984477
0.07000 0.0278670000 0.4907125000 0.4814205000 0.0005690907 0.0014432087 0.0013759723 4.7343538917 0.1188443715 4.5884029531 0.1460812727
0.08000 0.0268635000 0.4651385000 0.5079980000 0.0006142113 0.0018550593 0.0017805428 4.5299390546 0.0907726974 4.3918949848 0.1459284294
0.09000 0.0258755000 0.4415545000 0.5325700000 0.0005025982 0.0015767170 0.0014704636 4.3295558176 0.0757838950 4.1826114850 0.0937102845
0.10000 0.0246720000 0.4198440000 0.5554840000 0.0005402787 0.0016209724 0.0014647558 4.1653447132 0.0752444789 4.0235167523 0.1340133588
0.11000 0.0236190000 0.3997020000 0.5766790000 0.0004866848 0.0016891748 0.0017680584 4.0079387060 0.0773362795 3.8047627361 0.1038825939
0.12000 0.0228505000 0.3811945000 0.5959550000 0.0004430573 0.0013457828 0.0013166724 3.8684423999 0.0691940643 3.6951487935 0.1114878826
0.13000 0.0217250000 0.3642470000 0.6140280000 0.0003903238 0.0016882944 0.0016329747 3.7336852885 0.0965068716 3.5411589042 0.1083545656
0.14000 0.0210015000 0.3483010000 0.6306975000 0.0005625251 0.0015778363 0.0018148014 3.6181335382 0.0808179468 3.4280029045 0.1246128834
0.15000 0.0202770000 0.3338040000 0.6459190000 0.0003823074 0.0018879184 0.0018890959 3.5204770466 0.0910802199 3.3105769506 0.1427772799
0.16000 0.0196925000 0.3202685000 0.6600390000 0.0004864033 0.0014606641 0.0015861868 3.4243472391 0.0657465828 3.2011704200 0.1272996182
0.17000 0.0189540000 0.3070410000 0.6740050000 0.0004329993 0.0011681470 0.0014087415 3.3305796009 0.0711221394 3.0775101756 0.1203662507
0.18000 0.0183485000 0.2954200000 0.6862315000 0.0003329655 0.0011806243 0.0011394702 3.2335820996 0.0876399143 2.9398230688 0.1003100797
0.19000 0.0178855000 0.2839045000 0.6982100000 0.0004417486 0.0012722689 0.0013128114 3.1032822537 0.0592356128 2.8041913397 0.0788710822
0.20000 0.0172700000 0.2734545000 0.7092755000 0.0004264171 0.0012627642 0.0013661143 3.0409706116 0.0695946250 2.7461290623 0.0926617125
0.21000 0.0166850000 0.2631130000 0.7202020000 0.0004919617 0.0016382728 0.0015158725 2.9667373511 0.0842905046 2.6699568783 0.0896196751
0.22000 0.0161045000 0.2535350000 0.7303605000 0.0004029036 0.0014679542 0.0015206732 2.9302083130 0.0444513391 2.5988927741 0.0882221707
0.23000 0.0158025000 0.2449380000 0.7392595000 0.0003991290 0.0013717473 0.0015571650 2.8429347459 0.0564815679 2.5003915452 0.0875680718
0.24000 0.0152610000 0.2372390000 0.7475000000 0.0003775949 0.0007900493 0.0008596388 2.8070729730 0.0641507418 2.4619993204 0.0985307448
