#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.99
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.2
# - clad diameter: 2*b_p = 0.225
# - numerical aperture: NA_p = 0.5
#
#Entrance radius: r_e = 2*b_p = 0.225
#Number of photons: N = 1000000
#Number of averages: N_avg = 20
#Number of alpha-values: N_R = 100
#Delta alpha: d_alpha = 0.01
#Seed: 1002
#
#alpha <eps_c> <eps_e> <eps_w> std_eps_c std_eps_e std_eps_w <<path>> std<path> <std_path> <<std_path>>
0.05000 0.0326751500 0.4887795500 0.4785453000 0.0001995749 0.0004113581 0.0003984714 6.7880093193 0.0392080984 6.5226560493 0.0415809128
0.06000 0.0305712000 0.4517498500 0.5176789500 0.0001607743 0.0006210304 0.0006402804 6.3960678755 0.0391675674 6.0925848443 0.0654508688
0.07000 0.0286923000 0.4191360000 0.5521717000 0.0001476782 0.0003458267 0.0003890612 6.0479649696 0.0259039623 5.7062829528 0.0480331354
0.08000 0.0270219000 0.3900910000 0.5828871000 0.0001483477 0.0004980420 0.0004619593 5.7515649629 0.0258588561 5.3670322770 0.0448511047
0.09000 0.0255853000 0.3641542000 0.6102605000 0.0001822826 0.0004005292 0.0003803718 5.4764214769 0.0332484533 5.0694339016 0.0461564430
0.10000 0.0242140500 0.3410604000 0.6347255500 0.0002044318 0.0004792025 0.0005404235 5.2323462744 0.0220443127 4.7919919932 0.0387817211
0.11000 0.0230399500 0.3199888000 0.6569712500 0.0000991742 0.0005830074 0.0005866706 5.0119831903 0.0285637590 4.5387092134 0.0378758043
0.12000 0.0219366500 0.3011222000 0.6769411500 0.0001469004 0.0004321265 0.0003989720 4.8267977134 0.0286015423 4.3214221666 0.0508012442
0.13000 0.0208931000 0.2842708500 0.6948360500 0.0001377488 0.0004199930 0.0004391434 4.6348234419 0.0288361070 4.0867869773 0.0411024671
0.14000 0.0199318000 0.2683893000 0.7116789000 0.0001239659 0.0004531038 0.0004434306 4.4839078241 0.0284340948 3.9181146379 0.0535511210
0.15000 0.0190849500 0.2541192500 0.7267958000 0.0001518380 0.0004957008 0.0004693349 4.3276403656 0.0248994051 3.7401599168 0.0374934936
0.16000 0.0182785500 0.2409354500 0.7407860000 0.0001388151 0.0003864009 0.0004092397 4.2115959246 0.0247916328 3.5984153132 0.0420130765
0.17000 0.0175176500 0.2286166000 0.7538657500 0.0001316536 0.0005000356 0.0005343192 4.0767443258 0.0246959999 3.4270265373 0.0478252099
0.18000 0.0168394500 0.2173378000 0.7658227500 0.0001480613 0.0003670026 0.0003226817 3.9691753454 0.0347425567 3.2992977556 0.0437917607
0.19000 0.0162087000 0.2067799000 0.7770114000 0.0001375814 0.0004027497 0.0004353061 3.8616285680 0.0282942636 3.1650440127 0.0458304716
0.20000 0.0155834000 0.1970889000 0.7873277000 0.0001292543 0.0005470783 0.0005636301 3.7489863228 0.0246852405 3.0350609375 0.0352756221
0.21000 0.0150087000 0.1878044500 0.7971868500 0.0001021475 0.0003473355 0.0003600525 3.6677954966 0.0271789498 2.9166781345 0.0458569190
0.22000 0.0144345000 0.1795698500 0.8059956500 0.0001304807 0.0003123246 0.0003124023 3.5802194309 0.0245412895 2.8067258738 0.0448064002
0.23000 0.0139356000 0.1716635000 0.8144009000 0.0001340371 0.0004158504 0.0004644831 3.5069022487 0.0329365952 2.7303387784 0.0432104281
0.24000 0.0134545000 0.1641923500 0.8223531500 0.0000983707 0.0002887387 0.0002979151 3.4306228221 0.0191978191 2.6229260252 0.0292911263
0.25000 0.0130091500 0.1573456000 0.8296452500 0.0000795906 0.0003526160 0.0003816143 3.3775298774 0.0206770558 2.5525131863 0.0371933943
0.26000 0.0126085500 0.1508281000 0.8365633500 0.0000837600 0.0003219297 0.0003350293 3.3006900150 0.0140481108 2.4486870592 0.0221367751
0.27000 0.0121606000 0.1446195500 0.8432198500 0.0000971707 0.0003782157 0.0003846845 3.2535711062 0.0173203298 2.3898409803 0.0343605787
0.28000 0.0118062500 0.1388510000 0.8493427500 0.0001125652 0.0002984008 0.0003590659 3.1940629422 0.0195708726 2.3236051798 0.0371809283
0.29000 0.0114096000 0.1333064500 0.8552839500 0.0000991503 0.0004252211 0.0004102503 3.1437905793 0.0167514174 2.2494423888 0.0276457688
0.30000 0.0110552500 0.1280588500 0.8608859000 0.0000827373 0.0004408524 0.0004733710 3.1001108932 0.0198188994 2.1913613502 0.0409661878
0.31000 0.0106878500 0.1231854000 0.8661267500 0.0001140251 0.0003689304 0.0003891295 3.0430352269 0.0222475299 2.1115560473 0.0418178588
0.32000 0.0104414000 0.1183656500 0.8711929500 0.0001037753 0.0004092937 0.0004147634 3.0082089712 0.0169463509 2.0596705641 0.0285510797
0.33000 0.0100993000 0.1140725000 0.8758282000 0.0000996505 0.0003282790 0.0003252697 2.9656177159 0.0219923158 2.0015680416 0.0422672234
0.34000 0.0098108500 0.1099985500 0.8801906000 0.0001108993 0.0003523199 0.0003753473 2.9227564857 0.0192534746 1.9486648213 0.0326432763
0.35000 0.0094853500 0.1060010000 0.8845136500 0.0000867685 0.0003726971 0.0003707248 2.8850861258 0.0223962765 1.9010998284 0.0347311885
0.36000 0.0092009000 0.1021202000 0.8886789000 0.0000935965 0.0003155863 0.0002773472 2.8577654203 0.0197911756 1.8589950522 0.0330405087
0.37000 0.0089814500 0.0984267500 0.8925918000 0.0001108125 0.0002568261 0.0002787637 2.8187942134 0.0107580985 1.7988877588 0.0225041413
0.38000 0.0087250500 0.0952065500 0.8960684000 0.0000879476 0.0002747637 0.0002696037 2.7892566532 0.0170301431 1.7552355684 0.0328007528
0.39000 0.0084928500 0.0917113000 0.8997958500 0.0000817340 0.0002869869 0.0003319457 2.7569549208 0.0176820595 1.7055633020 0.0359858468
0.40000 0.0082410500 0.0887746500 0.9029843000 0.0000820715 0.0001899208 0.0002361200 2.7300572884 0.0177363387 1.6687332646 0.0390423647
0.41000 0.0080032500 0.0856687000 0.9063280500 0.0000857425 0.0001971486 0.0002151728 2.6951289017 0.0174901838 1.6232155302 0.0375998294
0.42000 0.0077834500 0.0827646500 0.9094519000 0.0000972974 0.0001776073 0.0001623816 2.6724667567 0.0186659305 1.5883622492 0.0414816367
0.43000 0.0076343500 0.0802060000 0.9121596500 0.0000964470 0.0002787081 0.0003016494 2.6516223239 0.0160247787 1.5567776630 0.0327065609
0.44000 0.0073986000 0.0774418500 0.9151595500 0.0000756936 0.0002206250 0.0002661490 2.6336140080 0.0178264342 1.5306190628 0.0310727476
0.45000 0.0071912500 0.0750175000 0.9177912500 0.0000885366 0.0002658913 0.0002584730 2.6051719532 0.0211681493 1.4829479554 0.0316816833
