#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.9
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha-values: N_R = 100
#Delta alpha: d_alpha = 0.01
#Seed: 7000
#
#alpha T A L_eff
0.01000 0.9607275571 0.0400644096 4.0064409630
0.02000 0.9224344571 0.0807389548 4.0369477415
0.03000 0.8914271949 0.1149315108 3.8310503607
0.04000 0.8579715754 0.1531843090 3.8296077248
0.05000 0.8329864827 0.1827378642 3.6547572840
0.06000 0.8035114184 0.2187638830 3.6460647174
0.07000 0.7763188551 0.2531919474 3.6170278204
0.08000 0.7524236764 0.2844557142 3.5556964276
0.09000 0.7290813526 0.3159699584 3.5107773157
0.10000 0.7100118074 0.3424736789 3.4247367894
0.11000 0.6902038060 0.3707683540 3.3706213998
0.12000 0.6664073514 0.4058541567 3.3821179724
0.13000 0.6487673310 0.4326811304 3.3283163876
0.14000 0.6313524016 0.4598910913 3.2849363661
0.15000 0.6129976188 0.4893942276 3.2626281840
0.16000 0.5997725397 0.5112047961 3.1950299759
0.17000 0.5821799069 0.5409757607 3.1822103568
0.18000 0.5678530670 0.5658925787 3.1438476592
0.19000 0.5531155348 0.5921883755 3.1167809239
0.20000 0.5420742326 0.6123523264 3.0617616319
0.21000 0.5246119156 0.6450964981 3.0718880863
0.22000 0.5103719529 0.6726154997 3.0573431805
0.23000 0.5000572600 0.6930326672 3.0131855094
0.24000 0.4869743436 0.7195438399 2.9980993328
0.25000 0.4756763587 0.7430175746 2.9720702985
0.26000 0.4643941698 0.7670215836 2.9500830139
