#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.9
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.5
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha-values: N_R = 100
#Delta alpha: d_alpha = 0.01
#Seed: 7010
#
#alpha T A L_eff
0.01000 0.9475593110 0.0538657466 5.3865746642
0.02000 0.8962861051 0.1094956033 5.4747801649
0.03000 0.8522870087 0.1598319442 5.3277314720
0.04000 0.8121975603 0.2080116675 5.2002916880
0.05000 0.7747731660 0.2551849815 5.1036996296
0.06000 0.7381428767 0.3036178733 5.0602978884
0.07000 0.7056927991 0.3485752650 4.9796466424
0.08000 0.6771239602 0.3899009206 4.8737615079
0.09000 0.6489339107 0.4324243999 4.8047155550
0.10000 0.6236402475 0.4721816034 4.7218160338
0.11000 0.5993341423 0.5119360028 4.6539636619
0.12000 0.5761454660 0.5513951051 4.5949592092
0.13000 0.5537197797 0.5910965330 4.5468964077
0.14000 0.5340592562 0.6272484795 4.4803462823
0.15000 0.5154038775 0.6628044576 4.4186963840
0.16000 0.4986045668 0.6959419486 4.3496371787
0.17000 0.4814738155 0.7309034303 4.2994319430
0.18000 0.4667564939 0.7619475837 4.2330421317
0.19000 0.4482512781 0.8024013152 4.2231648171
0.20000 0.4356998202 0.8308017585 4.1540087925
0.21000 0.4209162104 0.8653214902 4.1205785249
0.22000 0.4093090205 0.8932848570 4.0603857135
0.23000 0.3964396501 0.9252314562 4.0227454616
0.24000 0.3840857038 0.9568895643 3.9870398512
0.25000 0.3721700710 0.9884043490 3.9536173959
0.26000 0.3613448107 1.0179226224 3.9150870091
0.27000 0.3494927604 1.0512724317 3.8936015990
0.28000 0.3396739976 1.0797689519 3.8563176855
0.29000 0.3316003718 1.1038247346 3.8062921884
