#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.9
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha-values: N_R = 50
#Delta alpha: d_alpha = 0.02
#Seed: 7000
#
#alpha T A L_eff
0.05000 0.8293455383 0.1871183973 3.7423679469
0.07000 0.7761332538 0.2534310547 3.6204436384
0.09000 0.7323234517 0.3115329887 3.4614776522
0.11000 0.6874829701 0.3747182205 3.4065292775
0.13000 0.6501415703 0.4305651393 3.3120395329
0.15000 0.6155920879 0.4851707298 3.2344715322
0.17000 0.5834751669 0.5387533870 3.1691375703
0.19000 0.5515951838 0.5949408643 3.1312677071
0.21000 0.5243947226 0.6455105908 3.0738599563
0.23000 0.5006338087 0.6918803660 3.0081755043
0.25000 0.4756566139 0.7430590844 2.9722363376
0.27000 0.4539610079 0.7897439702 2.9249776675
0.29000 0.4328735423 0.8373096437 2.8872746333
0.31000 0.4105895408 0.8901612477 2.8714878960
0.33000 0.3933286209 0.9331098310 2.8276055485
0.35000 0.3749106547 0.9810675355 2.8030501015
0.37000 0.3590990045 1.0241571501 2.7679922974
0.39000 0.3462095873 1.0607109437 2.7197716505
0.41000 0.3271992765 1.1171858853 2.7248436227
0.43000 0.3161263826 1.1516132003 2.6781702333
0.45000 0.2993432874 1.2061642459 2.6803649910
0.47000 0.2886415960 1.2425695127 2.6437649206
0.49000 0.2770632348 1.2835095145 2.6194071725
0.51000 0.2640948383 1.3314470043 2.6106804006
0.53000 0.2523190289 1.3770610046 2.5982283105
0.55000 0.2418582243 1.4194035745 2.5807337718
0.57000 0.2326334454 1.4582912601 2.5584057195
0.59000 0.2225754351 1.5024892008 2.5465918657
0.61000 0.2138798172 1.5423410234 2.5284279072
0.63000 0.2061951341 1.5789323057 2.5062417551
0.65000 0.1962003072 1.6286191660 2.5055679476
0.67000 0.1878995858 1.6718475772 2.4952948913
0.69000 0.1804084018 1.7125320992 2.4819305785
0.71000 0.1745204971 1.7457130824 2.4587508202
0.73000 0.1650943210 1.8012383260 2.4674497617
0.75000 0.1598540463 1.8334940907 2.4446587875
0.77000 0.1529157173 1.8778683769 2.4387900999
0.79000 0.1464394170 1.9211434721 2.4318271798
0.81000 0.1404883288 1.9626308624 2.4230010647
0.83000 0.1366696810 1.9901883518 2.3978172913
0.85000 0.1275870648 2.0589562864 2.4223015135
0.87000 0.1253874921 2.0763464002 2.3866050576
0.89000 0.1201748601 2.1188074293 2.3806825048
0.91000 0.1147884738 2.1646642029 2.3787518713
0.93000 0.1103537876 2.2040638229 2.3699610999
0.95000 0.1061283966 2.2431056292 2.3611638202
0.97000 0.1021044027 2.2817594333 2.3523293127
0.99000 0.0974485746 2.3284304799 2.3519499797
1.01000 0.0947119429 2.3569151743 2.3335793805
1.03000 0.0890175373 2.4189218798 2.3484678445
