#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.9
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha-values: N_R = 100
#Delta alpha: d_alpha = 0.01
#Seed: 7000
#
#alpha <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.01000 0.0024328600 0.1144133100 0.8242463700 0.0589074600 0.0000489019 0.0003291264 0.0003737313 0.0002170365 3.9192453531 0.0927900329 4.0995984021 0.1831219002
0.02000 0.0023358900 0.1072783300 0.7785032200 0.1118825600 0.0000461414 0.0003253802 0.0004575638 0.0003610161 3.7556290901 0.0908789892 3.8416201238 0.1728973833
0.03000 0.0022573700 0.1007847800 0.7371211000 0.1598367500 0.0000513811 0.0002976866 0.0004749740 0.0003944410 3.6228606706 0.0714993484 3.6154355742 0.1463840375
0.04000 0.0021726500 0.0949597100 0.6995327200 0.2033349200 0.0000470307 0.0002880930 0.0004542415 0.0004033272 3.4933376927 0.0677906786 3.4135850094 0.1423607631
0.05000 0.0021093800 0.0895814800 0.6652192100 0.2430899300 0.0000488524 0.0002826479 0.0004713207 0.0004569193 3.3753360345 0.0675832284 3.2258128228 0.1470067323
0.06000 0.0020347400 0.0847613300 0.6337668400 0.2794370900 0.0000433323 0.0002969110 0.0004178287 0.0003809110 3.2887232215 0.0702776489 3.0817221429 0.1508423940
0.07000 0.0019658800 0.0801936600 0.6048659000 0.3129745600 0.0000469141 0.0002408200 0.0004679572 0.0004649805 3.1918799029 0.0634826548 2.9229766101 0.1395895746
0.08000 0.0019053700 0.0760541800 0.5782034900 0.3438369600 0.0000433785 0.0002747738 0.0004720771 0.0004754282 3.1001124633 0.0629607041 2.7559073099 0.1438173147
0.09000 0.0018462600 0.0722256800 0.5535358100 0.3723922500 0.0000336493 0.0002439294 0.0005132748 0.0005096049 3.0487566728 0.0565186001 2.6545899071 0.1241093831
0.10000 0.0017979700 0.0687109200 0.5306279100 0.3988632000 0.0000419799 0.0002548490 0.0005213721 0.0004936728 2.9882754848 0.0639343813 2.5603975990 0.1355105935
0.11000 0.0017478100 0.0654167300 0.5092117500 0.4236237100 0.0000417263 0.0002072085 0.0004851142 0.0004799087 2.9160600287 0.0607306196 2.4128707695 0.1335148587
0.12000 0.0016875500 0.0623773800 0.4893881400 0.4465469300 0.0000411546 0.0002373677 0.0005043631 0.0004584821 2.8516407799 0.0595019105 2.2943650292 0.1439212053
0.13000 0.0016428800 0.0595221600 0.4707855000 0.4680494600 0.0000412527 0.0002476237 0.0004885190 0.0004781509 2.7976866171 0.0543527786 2.1851163270 0.1280734187
0.14000 0.0015987800 0.0568831300 0.4533512600 0.4881668300 0.0000430524 0.0002218834 0.0004810682 0.0004848176 2.7674278876 0.0545972657 2.1257140874 0.1339868776
0.15000 0.0015523000 0.0543708700 0.4369885900 0.5070882400 0.0000409583 0.0002376134 0.0005048847 0.0005145470 2.7141643373 0.0508167918 2.0301638528 0.1193926317
0.16000 0.0015188100 0.0520483000 0.4215762200 0.5248566700 0.0000408267 0.0002133504 0.0005177028 0.0005268899 2.6699296472 0.0467854459 1.9460545416 0.1128512188
0.17000 0.0014742600 0.0498157800 0.4070575000 0.5416524600 0.0000409381 0.0002129953 0.0004716824 0.0004773782 2.6414792286 0.0533171517 1.8742601360 0.1300347180
0.18000 0.0014379800 0.0478072200 0.3933299800 0.5574248200 0.0000339319 0.0002162014 0.0005734782 0.0005883739 2.6052505342 0.0447572512 1.8053947787 0.1103702847
0.19000 0.0014006600 0.0458420300 0.3805335500 0.5722237600 0.0000377938 0.0002261463 0.0004692801 0.0005075511 2.5705350447 0.0508888078 1.7371698798 0.1225854933
0.20000 0.0013727000 0.0440418300 0.3682755100 0.5863099600 0.0000353349 0.0002122438 0.0005044263 0.0005086265 2.5442177041 0.0494259623 1.6861913331 0.1196023462
0.21000 0.0013284800 0.0422716700 0.3567975900 0.5996022600 0.0000421554 0.0001992522 0.0004882980 0.0005174899 2.5202114323 0.0491078178 1.6313492523 0.1117900421
0.22000 0.0012924200 0.0406598600 0.3457104400 0.6123372800 0.0000362539 0.0002180160 0.0004559923 0.0004416568 2.4859099257 0.0416039658 1.5540131362 0.1038349096
0.23000 0.0012663000 0.0391005400 0.3352058500 0.6244273100 0.0000328100 0.0002099463 0.0004488579 0.0004762234 2.4744869747 0.0436774957 1.5287070622 0.1093923731
0.24000 0.0012331700 0.0376211000 0.3252559900 0.6358897400 0.0000352990 0.0001602692 0.0004902874 0.0004856559 2.4406189353 0.0438765305 1.4576971790 0.1165136634
0.25000 0.0012045600 0.0362250100 0.3157898600 0.6467805700 0.0000345573 0.0002039036 0.0004838150 0.0005257948 2.4248235891 0.0364749032 1.4248152722 0.0998891751
0.26000 0.0011759900 0.0349145100 0.3067130900 0.6571964100 0.0000314108 0.0001934140 0.0004821389 0.0004996106 2.4110584305 0.0460685233 1.4036004289 0.1105762762
0.27000 0.0011443700 0.0336599600 0.2980937900 0.6671018800 0.0000325523 0.0001820271 0.0004199305 0.0004259386 2.3931044997 0.0426638330 1.3573738906 0.1208580057
0.28000 0.0011190900 0.0324526700 0.2898818100 0.6765464300 0.0000327852 0.0001629419 0.0004855470 0.0004873661 2.3682529883 0.0398218775 1.3001004074 0.1023422742
0.29000 0.0010962400 0.0313222400 0.2819750800 0.6856064400 0.0000336488 0.0002048900 0.0004407092 0.0004649897 2.3552415021 0.0409698067 1.2679567337 0.1053835138
0.30000 0.0010708700 0.0302116200 0.2744456300 0.6942718800 0.0000288001 0.0001499355 0.0004803013 0.0004676101 2.3355398513 0.0418690308 1.2276701848 0.1102153886
0.31000 0.0010444800 0.0291673400 0.2672394600 0.7025487200 0.0000352536 0.0001417754 0.0004533666 0.0004558225 2.3204456996 0.0352297092 1.1859176894 0.1059108958
0.32000 0.0010183400 0.0281783300 0.2602257600 0.7105775700 0.0000285131 0.0001605002 0.0004525977 0.0004771425 2.3017463510 0.0354591636 1.1543429830 0.1149885060
0.33000 0.0009933000 0.0272324700 0.2535329400 0.7182412900 0.0000356046 0.0001829860 0.0003916502 0.0004277070 2.2933077856 0.0395670984 1.1259190355 0.1114334350
0.34000 0.0009739500 0.0262956500 0.2471436500 0.7255867500 0.0000344103 0.0001517232 0.0004360121 0.0004616324 2.2853024525 0.0353860332 1.1141940348 0.1040568380
0.35000 0.0009482000 0.0254545900 0.2409780300 0.7326191800 0.0000308601 0.0001573743 0.0004127240 0.0004307140 2.2663610194 0.0320437816 1.0544782157 0.0946376830
0.36000 0.0009295800 0.0246055700 0.2350165400 0.7394483100 0.0000310207 0.0001646865 0.0003572860 0.0003879978 2.2568661754 0.0345473865 1.0305452555 0.0990022773
0.37000 0.0009105800 0.0238104300 0.2294062000 0.7458727900 0.0000299734 0.0001647437 0.0004951542 0.0004925568 2.2482853679 0.0360027627 1.0078298779 0.1061630331
0.38000 0.0008877700 0.0230559600 0.2239516200 0.7521046500 0.0000318706 0.0001414099 0.0003411082 0.0003622654 2.2418839846 0.0319127702 0.9986623326 0.1008734320
0.39000 0.0008662100 0.0223132400 0.2186901600 0.7581303900 0.0000281641 0.0001422618 0.0004134074 0.0004337772 2.2288616146 0.0350848988 0.9633542272 0.0990137608
0.40000 0.0008496000 0.0215966600 0.2134810600 0.7640726800 0.0000290082 0.0001461866 0.0004367898 0.0004674768 2.2134639821 0.0285275220 0.9265609160 0.0877431327
0.41000 0.0008315100 0.0209384400 0.2086299000 0.7696001500 0.0000309112 0.0001384411 0.0004309088 0.0004487422 2.2128402881 0.0353636165 0.9238765993 0.0941289882
0.42000 0.0008158800 0.0202857500 0.2039171800 0.7749811900 0.0000267322 0.0001432899 0.0004855780 0.0004976849 2.2134643498 0.0326782575 0.9245921960 0.1028001571
