#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.99
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.5
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha-values: N_R = 100
#Delta alpha: d_alpha = 0.01
#Seed: 7012
#
#alpha <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.01000 0.0231546800 0.4571792300 0.3077280500 0.2119380400 0.0001406645 0.0004761625 0.0004415480 0.0004329237 20.1373484881 0.1399987409 20.2667785480 0.2027156682
0.02000 0.0192798800 0.3746591600 0.2540763400 0.3519846200 0.0001221717 0.0005321016 0.0004233468 0.0004189641 16.7234843497 0.1106451605 16.8086989626 0.1718795036
0.03000 0.0165346700 0.3160474600 0.2159757900 0.4514420800 0.0001346216 0.0004669085 0.0004725785 0.0004630822 14.3079009206 0.1162342229 14.3186897281 0.1580120183
0.04000 0.0144375500 0.2722628600 0.1875137900 0.5257858000 0.0001055760 0.0004792105 0.0004446760 0.0005015080 12.5112788202 0.1045182797 12.4678730917 0.1536862593
0.05000 0.0128395700 0.2384559300 0.1655013300 0.5832031700 0.0001234019 0.0003990708 0.0003735003 0.0004396807 11.1410282561 0.0945257452 11.0676408516 0.1279981342
0.06000 0.0115541300 0.2114842800 0.1478967000 0.6290648900 0.0001021667 0.0003746313 0.0003605198 0.0004906673 10.0505422149 0.0892438936 9.9241773224 0.1294542228
0.07000 0.0105010400 0.1893997500 0.1335806700 0.6665185400 0.0001007593 0.0003888988 0.0003618067 0.0004705045 9.1534636158 0.0910045487 8.9733660757 0.1304628734
0.08000 0.0096061800 0.1710910500 0.1215728100 0.6977299600 0.0000984877 0.0003824240 0.0003474766 0.0005004901 8.4051774655 0.0829249855 8.1714658077 0.1213575203
0.09000 0.0088634900 0.1557214900 0.1115422700 0.7238727500 0.0000802025 0.0003750829 0.0003372162 0.0004598313 7.8076667140 0.0732165599 7.5300230527 0.1247384963
0.10000 0.0082145500 0.1425799300 0.1028629400 0.7463425800 0.0001054590 0.0003410187 0.0003125096 0.0004098188 7.2700493340 0.0821370466 6.9538257747 0.1300716074
0.11000 0.0076436300 0.1311837300 0.0954437900 0.7657288500 0.0000736777 0.0003896977 0.0002892688 0.0004578955 6.8253564063 0.0750070454 6.4772229735 0.1001126190
0.12000 0.0071748100 0.1211917700 0.0888319500 0.7828014700 0.0000805480 0.0003662146 0.0002837170 0.0004208558 6.4322190325 0.0751474403 6.0450186244 0.1126954408
0.13000 0.0067146000 0.1124305200 0.0830669900 0.7977878900 0.0000713861 0.0002962140 0.0002752916 0.0003936879 6.0897300043 0.0736868362 5.6660631183 0.1079686318
0.14000 0.0063536000 0.1047088300 0.0779740600 0.8109635100 0.0000737907 0.0003107563 0.0002790865 0.0004243700 5.7919434906 0.0676718828 5.3384305114 0.1153438240
0.15000 0.0059946000 0.0978043500 0.0734048600 0.8227961900 0.0000671428 0.0002751174 0.0002597736 0.0003958432 5.5202139053 0.0708610048 5.0161009032 0.1095531854
0.16000 0.0056711800 0.0915505800 0.0693392800 0.8334389600 0.0000740122 0.0002698458 0.0002426609 0.0003468373 5.2730821073 0.0616515412 4.7476563475 0.0869495477
