#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.96
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.2
# - clad diameter: 2*b_p = 0.225
# - numerical aperture: NA_p = 0.5
#
#Entrance radius: r_e = 2*b_p = 0.225
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of R-values: N_R = 30
#Delta R: d_R = 0.025
#Seed: 31
#
#R <eps_c> <eps_e> <eps_w> std_eps_c std_eps_e std_eps_w <<path>> std<path> <std_path> <<std_path>>
0.30000 0.0539268700 0.7485999800 0.1974731500 0.0002218326 0.0004064463 0.0003633479 2.0401119591 0.0070884380 1.2886767875 0.0136420595
0.32500 0.0504839400 0.7191461900 0.2303698700 0.0002068781 0.0004674282 0.0004497312 2.5487777324 0.0098306073 1.8857519380 0.0156646387
0.35000 0.0474086700 0.6900304800 0.2625608500 0.0002033665 0.0004682724 0.0004185790 3.1028210091 0.0123319645 2.4945854546 0.0210838373
0.37500 0.0445523900 0.6613285700 0.2941190400 0.0001972275 0.0004724685 0.0004417752 3.6970009749 0.0148421508 3.1314895039 0.0238163556
0.40000 0.0420071600 0.6332058100 0.3247870300 0.0001947036 0.0004869501 0.0004830307 4.3290306497 0.0198618302 3.7914204455 0.0291041406
0.42500 0.0396843900 0.6057421000 0.3545735100 0.0001781532 0.0004374101 0.0004304954 4.9998718254 0.0213261934 4.4854176174 0.0327038310
0.45000 0.0374863300 0.5789464800 0.3835671900 0.0001877280 0.0005097650 0.0005005703 5.7076081497 0.0256690910 5.2102509313 0.0428585452
0.47500 0.0354794300 0.5532799500 0.4112406200 0.0001735918 0.0004883656 0.0004930961 6.4491924895 0.0327675300 5.9724774035 0.0456082997
0.50000 0.0335582300 0.5284601400 0.4379816300 0.0001818560 0.0005767482 0.0005792230 7.2091741815 0.0371090797 6.7512548049 0.0563854508
0.52500 0.0318014700 0.5048414400 0.4633570900 0.0001752880 0.0004699682 0.0004679618 7.9926392241 0.0441754084 7.5472284672 0.0661840583
0.55000 0.0301508500 0.4820625100 0.4877866400 0.0001680045 0.0005268751 0.0005147896 8.8107013857 0.0443764886 8.3755313595 0.0593173816
0.57500 0.0286283100 0.4602638100 0.5111078800 0.0001823505 0.0005644853 0.0005771345 9.6265803537 0.0600648537 9.2053905849 0.0834528996
0.60000 0.0272142000 0.4396634700 0.5331223300 0.0001551494 0.0004979816 0.0005310131 10.4802667429 0.0630223873 10.0699291164 0.0995718214
0.62500 0.0258765100 0.4199197200 0.5542037700 0.0001544119 0.0005087236 0.0004924696 11.3260176267 0.0657519372 10.9284419682 0.0875899974
0.65000 0.0246093100 0.4012776800 0.5741130100 0.0001421692 0.0004930594 0.0005174415 12.2011839160 0.0718050793 11.8132324476 0.1138394299
0.67500 0.0234632100 0.3835616400 0.5929751500 0.0001598248 0.0005068506 0.0005063519 13.0786156277 0.0718617806 12.7069645442 0.1119460694
0.70000 0.0223418700 0.3666135100 0.6110446200 0.0001562036 0.0004408934 0.0004508187 13.9618623113 0.0873592461 13.5887484724 0.1382534091
0.72500 0.0213036600 0.3507533800 0.6279429600 0.0001317166 0.0004952368 0.0005021323 14.8800569025 0.1121408489 14.5316985117 0.1583640828
0.75000 0.0203206900 0.3356237700 0.6440555400 0.0001354088 0.0004485344 0.0004547245 15.7758557369 0.1062993489 15.4398752857 0.1673977090
0.77500 0.0194250200 0.3213510700 0.6592239100 0.0001158825 0.0004154722 0.0004185004 16.6685082529 0.1196481674 16.3145085376 0.1842251443
0.80000 0.0185436400 0.3077820900 0.6736742700 0.0001317839 0.0004539711 0.0004525055 17.5826542228 0.1148763262 17.2556517203 0.1704547629
0.82500 0.0177280600 0.2949359400 0.6873360000 0.0001233662 0.0004810566 0.0004980534 18.4796735236 0.1390901396 18.1843718687 0.1952731942
0.85000 0.0169973600 0.2827467800 0.7002558600 0.0001299157 0.0004273269 0.0004183409 19.3928858322 0.1618826084 19.0743664929 0.2342674759
0.87500 0.0162498200 0.2712902400 0.7124599400 0.0001326602 0.0004732512 0.0004472198 20.3158003607 0.1605435694 19.9901834549 0.2253788837
0.90000 0.0155772700 0.2602959700 0.7241267600 0.0001384481 0.0004222839 0.0004353950 21.2192277987 0.1677359258 20.9363144845 0.2407310649
0.92500 0.0149414700 0.2500821200 0.7349764100 0.0001170856 0.0004435152 0.0004541982 22.1323414357 0.1926208201 21.8364646928 0.2636559966
0.95000 0.0143508900 0.2401941800 0.7454549300 0.0001257196 0.0003965728 0.0004099429 23.0441450663 0.1855668495 22.7740839792 0.2904852706
0.97500 0.0137640100 0.2308385500 0.7553974400 0.0001145900 0.0004295958 0.0004299655 23.9536006151 0.1892893019 23.7138876157 0.2719747693
1.00000 0.0132216800 0.2221780100 0.7646003100 0.0001231779 0.0004813396 0.0004965681 24.8977174447 0.1876539211 24.6544155493 0.2965005579
1.02500 0.0127161600 0.2137604700 0.7735233700 0.0000996705 0.0004323132 0.0004313279 25.8133460703 0.2098748573 25.5634128992 0.2957921172
