#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.97
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.2
# - clad diameter: 2*b_p = 0.225
# - numerical aperture: NA_p = 0.5
#
#Entrance radius: r_e = 2*b_p = 0.225
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of R-values: N_R = 30
#Delta R: d_R = 0.025
#Seed: 32
#
#R <eps_c> <eps_e> <eps_w> std_eps_c std_eps_e std_eps_w <<path>> std<path> <std_path> <<std_path>>
0.30000 0.0561833700 0.7893574300 0.1544592000 0.0001999290 0.0004287975 0.0003617570 2.1145237011 0.0056303852 1.3952753357 0.0106424414
0.32500 0.0530408400 0.7652057300 0.1817534300 0.0002303115 0.0004631705 0.0003875176 2.6629748342 0.0104035746 2.0330446227 0.0172370761
0.35000 0.0501493200 0.7407356900 0.2091149900 0.0001848490 0.0003870723 0.0003877692 3.2743525088 0.0125558647 2.7017406790 0.0197845618
0.37500 0.0475800300 0.7162354600 0.2361845100 0.0002131689 0.0004657982 0.0004234104 3.9347996844 0.0185059975 3.4062128996 0.0280731468
0.40000 0.0451491400 0.6916598700 0.2631909900 0.0002257325 0.0004700966 0.0004375264 4.6536907985 0.0185356968 4.1579232623 0.0319495362
0.42500 0.0429451200 0.6673145800 0.2897403000 0.0001976852 0.0004269022 0.0004238698 5.4237369350 0.0248373415 4.9544798060 0.0377940918
0.45000 0.0408770600 0.6431925400 0.3159304000 0.0001919435 0.0004884681 0.0004982011 6.2422338774 0.0284838137 5.7915941487 0.0438843135
0.47500 0.0389566100 0.6195689500 0.3414744400 0.0001869925 0.0005444633 0.0005260862 7.1033985891 0.0321098592 6.6750894562 0.0541595260
0.50000 0.0371273800 0.5964379100 0.3664347100 0.0001966847 0.0004749448 0.0004538203 8.0144793804 0.0374549270 7.6070741264 0.0581295121
0.52500 0.0354681100 0.5739942300 0.3905376600 0.0001883152 0.0004813496 0.0004665207 8.9596688515 0.0451569739 8.5686312229 0.0656300596
0.55000 0.0338476800 0.5520142200 0.4141381000 0.0001905018 0.0004860196 0.0004695686 9.9444407853 0.0545345740 9.5711193817 0.0785647163
0.57500 0.0323791700 0.5308159500 0.4368048800 0.0001631728 0.0005372822 0.0005415655 10.9583978249 0.0590718042 10.6138821161 0.0867848917
0.60000 0.0309513100 0.5102510600 0.4587976300 0.0001721842 0.0004675105 0.0004740753 11.9923821680 0.0601755908 11.6470226743 0.0930784912
0.62500 0.0295995500 0.4905346100 0.4798658400 0.0001661859 0.0005164062 0.0005271622 13.0635119893 0.0705270828 12.7396028226 0.1085803127
0.65000 0.0283203900 0.4715389900 0.5001406200 0.0001677503 0.0005100448 0.0005097509 14.1593041356 0.0810967089 13.8511020791 0.1174822841
0.67500 0.0270897900 0.4532542300 0.5196559800 0.0001701391 0.0004376217 0.0004578803 15.2622483432 0.0811666486 14.9757096438 0.1119116792
0.70000 0.0259707700 0.4358047000 0.5382245300 0.0001593664 0.0005190349 0.0005142865 16.4020880283 0.1065580903 16.1162569308 0.1419437012
0.72500 0.0248835700 0.4190297200 0.5560867100 0.0001602119 0.0004496725 0.0004376581 17.5609290225 0.1157956893 17.3100212376 0.1737136304
0.75000 0.0238937600 0.4029054000 0.5732008400 0.0001400820 0.0005013912 0.0005334445 18.6956998723 0.1226342416 18.4527347938 0.1681529951
0.77500 0.0228667200 0.3876446300 0.5894886500 0.0001388267 0.0004450846 0.0004707881 19.8705323926 0.1311140209 19.6165534151 0.1802062536
0.80000 0.0219726200 0.3729076500 0.6051197300 0.0001388574 0.0004680289 0.0004843046 21.0618141816 0.1389697886 20.8348700349 0.2128779005
0.82500 0.0211032000 0.3588844700 0.6200123300 0.0001717458 0.0004775310 0.0004673465 22.2363859082 0.1526328900 22.0277871136 0.2351171227
0.85000 0.0202637900 0.3454527000 0.6342835100 0.0001311114 0.0004311159 0.0004298215 23.4434244411 0.1523290543 23.2398848665 0.2183354821
0.87500 0.0194613300 0.3326068900 0.6479317800 0.0001266637 0.0004796988 0.0004898224 24.6474001670 0.1695396729 24.4714408081 0.2553457254
0.90000 0.0187291200 0.3204010800 0.6608698000 0.0001327751 0.0004129004 0.0004252689 25.8374422661 0.1878293514 25.6757315500 0.2808397731
0.92500 0.0180085100 0.3088058500 0.6731856400 0.0001439304 0.0004889934 0.0004852533 27.0332030446 0.2014101553 26.8618313588 0.2754304153
0.95000 0.0173382300 0.2977552200 0.6849065500 0.0001306840 0.0004991754 0.0005093603 28.2712904844 0.2135892752 28.1232198946 0.3224267067
0.97500 0.0166801500 0.2871218800 0.6961979700 0.0001218933 0.0004043961 0.0004153714 29.4939597445 0.2170026364 29.3629568803 0.2962714335
1.00000 0.0160815000 0.2769927200 0.7069257800 0.0001277884 0.0004999304 0.0005062378 30.7366006622 0.2586988516 30.5996993610 0.3765453059
1.02500 0.0154952600 0.2673497400 0.7171550000 0.0001410781 0.0004350157 0.0004540858 31.9889002226 0.2604216275 31.8981967537 0.3651744266
