#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.99
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.2
# - clad diameter: 2*b_p = 0.225
# - numerical aperture: NA_p = 0.5
#
#Entrance radius: r_e = 2*b_p = 0.225
#Number of photons: N = 1000000
#Number of averages: N_avg = 5
#Number of R-values: N_R = 10
#Delta R: d_R = 0.1
#Seed: 15
#
#R <eps_c> <eps_e> <eps_w> std_eps_c std_eps_e std_eps_w <<path>> std<path> <std_path> <<std_path>>
0.30000 0.0613318000 0.8825486000 0.0561196000 0.0002252692 0.0003573112 0.0002117848 2.2818398760 0.0080612833 1.6323977373 0.0116683360
0.40000 0.0531498000 0.8424508000 0.1043994000 0.0002467097 0.0003561491 0.0002664945 5.5245886455 0.0276692817 5.0994859358 0.0157809166
0.50000 0.0475380000 0.7935618000 0.1589002000 0.0001993314 0.0002321286 0.0002919849 10.3936455406 0.0489240341 10.0952188164 0.0972870346
0.60000 0.0429056000 0.7403632000 0.2167312000 0.0001607243 0.0003873586 0.0003868491 17.0353110970 0.0560337578 16.8748851616 0.0536834220
0.70000 0.0389974000 0.6852722000 0.2757304000 0.0002098352 0.0001553036 0.0001782801 25.2304655717 0.1901035794 25.0769154317 0.1858574729
0.80000 0.0354654000 0.6313356000 0.3331990000 0.0002713546 0.0010589324 0.0008330771 34.9233475881 0.1368597944 34.9554927086 0.1517776258
0.90000 0.0320808000 0.5791260000 0.3887932000 0.0001624060 0.0002238716 0.0002367672 45.6915506962 0.4186383500 45.9173776674 0.3964595087
1.00000 0.0292612000 0.5297740000 0.4409648000 0.0001691736 0.0003875435 0.0002386518 57.9683540112 0.2226685689 58.2548162633 0.2423208820
1.10000 0.0267070000 0.4846712000 0.4886218000 0.0001813560 0.0001992027 0.0002543525 70.7812950099 0.4799400996 71.2804033975 0.3540531257
1.20000 0.0242392000 0.4432622000 0.5324986000 0.0001268452 0.0003303403 0.0003338035 84.1471244138 0.4371263174 84.6190234169 0.4075142025
