#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.97
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.2
# - clad diameter: 2*b_p = 0.225
# - numerical aperture: NA_p = 0.5
#
#Entrance radius: r_e = 2*b_p = 0.225
#Number of photons: N = 10000
#Number of averages: N_avg = 2
#Number of R-values: N_R = 30
#Delta R: d_R = 0.025
#Seed: 23
#
#R <eps_c> <eps_e> <eps_w> std_eps_c std_eps_e std_eps_w <<path>> std<path> <std_path> <<std_path>>
0.30000 0.0557500000 0.7915500000 0.1527000000 0.0007778175 0.0034648232 0.0042426407 2.1538558786 0.0623446332 1.4828039302 0.1515559222
0.32500 0.0537500000 0.7628500000 0.1834000000 0.0013435029 0.0026162951 0.0012727922 2.7170881938 0.0313647760 2.0786373089 0.0503237869
0.35000 0.0497000000 0.7403500000 0.2099500000 0.0008485281 0.0026162951 0.0034648232 3.2969574479 0.1255237051 2.6526837631 0.3306671027
0.37500 0.0464500000 0.7208500000 0.2327000000 0.0003535534 0.0051618795 0.0055154329 3.8093986776 0.0197316092 3.2208602215 0.0955024454
0.40000 0.0438500000 0.6929500000 0.2632000000 0.0051618795 0.0044547727 0.0096166522 4.5696612005 0.3564458852 4.1264702075 0.6396771012
0.42500 0.0412500000 0.6643500000 0.2944000000 0.0004949747 0.0055861436 0.0060811183 5.4308285284 0.4109209886 5.2108909513 0.3617754256
0.45000 0.0421500000 0.6441000000 0.3137500000 0.0000707107 0.0012727922 0.0012020815 6.2512512502 0.0531890097 5.6348148901 0.2050083410
0.47500 0.0386500000 0.6226500000 0.3387000000 0.0002121320 0.0017677670 0.0015556349 7.2822360690 0.2514258977 6.9223710656 0.3762029544
0.50000 0.0390500000 0.5999000000 0.3610500000 0.0019091883 0.0067882251 0.0048790368 7.8820116080 0.0557305646 7.2189986809 0.3745761368
0.52500 0.0357000000 0.5735500000 0.3907500000 0.0024041631 0.0072831998 0.0048790368 9.5405914401 0.4913996117 9.6684424629 0.1624125239
0.55000 0.0314500000 0.5528500000 0.4157000000 0.0002121320 0.0037476659 0.0039597980 9.9425102880 0.5587603581 8.9253974707 0.6823649324
0.57500 0.0328500000 0.5381000000 0.4290500000 0.0026162951 0.0049497475 0.0075660426 10.5870138462 0.4280276862 10.3458913828 1.3362753663
0.60000 0.0320000000 0.5081500000 0.4598500000 0.0004242641 0.0034648232 0.0030405592 11.6300661038 0.9204736730 11.1017862065 0.3928545617
0.62500 0.0309500000 0.4911000000 0.4779500000 0.0021920310 0.0082024387 0.0103944697 13.6765662085 0.0373081380 13.7122464124 1.0888587060
0.65000 0.0294500000 0.4729000000 0.4976500000 0.0006363961 0.0070710678 0.0064346717 13.8597193879 0.5677360766 12.2469256896 0.4257055826
0.67500 0.0255500000 0.4497000000 0.5247500000 0.0000707107 0.0026870058 0.0027577164 16.1820396860 1.4414789872 15.9593512528 1.8987077986
0.70000 0.0249000000 0.4400500000 0.5350500000 0.0039597980 0.0075660426 0.0115258405 16.1979940523 0.1088279332 16.1046663743 1.2620927847
0.72500 0.0250000000 0.4178500000 0.5571500000 0.0018384776 0.0040305087 0.0021920310 17.2451074581 0.0699367787 17.5671000088 0.4491700114
0.75000 0.0249500000 0.4049000000 0.5701500000 0.0040305087 0.0007071068 0.0047376154 19.2859761260 1.6863228191 19.4962814520 3.0792962053
0.77500 0.0239500000 0.3883000000 0.5877500000 0.0014849242 0.0091923882 0.0077074639 18.4630234616 2.6791370293 17.3396487020 3.3944282716
0.80000 0.0220000000 0.3730500000 0.6049500000 0.0009899495 0.0000707107 0.0010606602 21.5059476857 0.0849728728 21.6272362377 0.7423463924
0.82500 0.0197000000 0.3588500000 0.6214500000 0.0015556349 0.0007778175 0.0007778175 21.6128618736 1.6745911848 22.0832217195 2.9352155197
0.85000 0.0208000000 0.3487500000 0.6304500000 0.0021213203 0.0055861436 0.0077074639 24.1949066961 0.4751425298 23.8989844333 1.9188663901
0.87500 0.0201500000 0.3273500000 0.6525000000 0.0004949747 0.0047376154 0.0052325902 24.6216973994 1.2615883031 22.5728466155 1.2577210797
0.90000 0.0172500000 0.3205000000 0.6622500000 0.0024748737 0.0015556349 0.0040305087 24.3562356160 0.8623552276 23.6968035594 2.5972232450
0.92500 0.0181500000 0.3144000000 0.6674500000 0.0020506097 0.0008485281 0.0012020815 27.4633679296 0.2191462769 26.8603646471 1.0763628634
0.95000 0.0175500000 0.2953000000 0.6871500000 0.0034648232 0.0063639610 0.0028991378 29.8824188515 3.0405018323 29.1247209518 1.7313070196
0.97500 0.0166000000 0.2836500000 0.6997500000 0.0007071068 0.0051618795 0.0044547727 29.3182326589 0.6813374591 29.0841244553 2.1297361482
1.00000 0.0164000000 0.2773000000 0.7063000000 0.0015556349 0.0052325902 0.0067882251 30.1245479584 1.8502918192 31.7488640934 1.2222012953
1.02500 0.0154500000 0.2707500000 0.7138000000 0.0006363961 0.0095459415 0.0089095454 31.7008260026 2.8641756309 33.8443710890 5.3940185569
