#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.99
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.2
# - clad diameter: 2*b_p = 0.225
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.225
#Number of photons: N = 100000
#Number of averages: N_avg = 100
#Number of R-values: N_R = 26
#Delta R: d_R = 0.01
#Seed: 5
#
#R <eps_c> <eps_e> <eps_w> stddev_eps_c stddev_eps_e stddev_eps_w
0.25000 0.0126311000 0.9527605000 0.0346084000 0.0003456626 0.0006625942 0.0006025983
0.26000 0.0134517000 0.9476681000 0.0388802000 0.0004597475 0.0006885891 0.0005916284
0.27000 0.0138898000 0.9429006000 0.0432096000 0.0003405817 0.0007104570 0.0006583096
0.28000 0.0143630000 0.9381517000 0.0474853000 0.0003787206 0.0007858098 0.0007086699
0.29000 0.0147358000 0.9331932000 0.0520710000 0.0003901364 0.0008119883 0.0007473516
0.30000 0.0150005000 0.9288297000 0.0561698000 0.0003861998 0.0008394496 0.0007576558
0.31000 0.0151352000 0.9240509000 0.0608139000 0.0004097584 0.0006951144 0.0006318242
0.32000 0.0153056000 0.9193824000 0.0653120000 0.0003423222 0.0008154036 0.0007465787
0.33000 0.0154134000 0.9145415000 0.0700451000 0.0003796442 0.0007576497 0.0006919647
0.34000 0.0152936000 0.9099331000 0.0747733000 0.0003586071 0.0009056029 0.0008374819
0.35000 0.0153587000 0.9052301000 0.0794112000 0.0003477334 0.0008672125 0.0008369428
0.36000 0.0153060000 0.9004012000 0.0842928000 0.0003901075 0.0010180961 0.0009570874
0.37000 0.0152360000 0.8955956000 0.0891684000 0.0003880670 0.0008838898 0.0008143309
0.38000 0.0150952000 0.8906386000 0.0942662000 0.0004150343 0.0009870106 0.0009183536
0.39000 0.0150423000 0.8858570000 0.0991007000 0.0004372131 0.0009624385 0.0009226261
0.40000 0.0149296000 0.8806304000 0.1044400000 0.0003892519 0.0009611514 0.0008686772
0.41000 0.0146915000 0.8757072000 0.1096013000 0.0003272980 0.0009651965 0.0009662995
0.42000 0.0145996000 0.8705360000 0.1148644000 0.0003687870 0.0011159776 0.0010406897
0.43000 0.0144906000 0.8653326000 0.1201768000 0.0004090635 0.0010090646 0.0009378267
0.44000 0.0142487000 0.8599666000 0.1257847000 0.0003353173 0.0009982796 0.0009766449
0.45000 0.0141193000 0.8546406000 0.1312401000 0.0003637383 0.0011355645 0.0010691198
0.46000 0.0138429000 0.8494914000 0.1366657000 0.0003827685 0.0011277017 0.0010785730
0.47000 0.0136616000 0.8441579000 0.1421805000 0.0003651504 0.0012267262 0.0011833144
0.48000 0.0135723000 0.8388241000 0.1476036000 0.0003648380 0.0012492722 0.0011660072
0.49000 0.0133570000 0.8334860000 0.1531570000 0.0004062081 0.0011226673 0.0010726400
0.50000 0.0131705000 0.8279793000 0.1588502000 0.0003455938 0.0011911596 0.0012628603
