#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.97
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.2
# - clad diameter: 2*b_p = 0.225
# - numerical aperture: NA_p = 0.5
#
#Entrance radius: r_e = 2*b_p = 0.225
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of R-values: N_R = 30
#Delta R: d_R = 0.025
#Seed: 302
#
#R <eps_c> <eps_e> <eps_w> std_eps_c std_eps_e std_eps_w <<path>> std<path> <std_path> <<std_path>>
0.30000 0.0541566700 0.7913382200 0.1545051100 0.0001937334 0.0004031782 0.0003636043 2.1562067547 0.0076239977 1.7304049120 0.0115650610
0.32500 0.0515289500 0.7666789500 0.1817921000 0.0002075354 0.0004202329 0.0003785148 2.7094914384 0.0099763345 2.2803298325 0.0147406972
0.35000 0.0490744700 0.7419003900 0.2090251400 0.0002187477 0.0004296393 0.0004134778 3.3208175656 0.0126152067 2.8904618827 0.0196327444
0.37500 0.0466680600 0.7170446300 0.2362873100 0.0002161749 0.0004537583 0.0004014872 3.9827398796 0.0155462141 3.5564566940 0.0241825975
0.40000 0.0444658000 0.6924174400 0.2631167600 0.0002032545 0.0004606121 0.0004727731 4.7010784785 0.0200471620 4.2830494930 0.0290591684
0.42500 0.0423940900 0.6678736400 0.2897322700 0.0002238544 0.0004960418 0.0004844062 5.4803012959 0.0279903355 5.0718056734 0.0422816673
0.45000 0.0404253800 0.6437325900 0.3158420300 0.0002084296 0.0005275454 0.0004967800 6.2955322535 0.0300678893 5.8916679337 0.0403968412
0.47500 0.0385925800 0.6199089100 0.3414985100 0.0001845090 0.0004457588 0.0004326842 7.1668348216 0.0335168926 6.7764080494 0.0549097074
0.50000 0.0368456200 0.5967730600 0.3663813200 0.0001885792 0.0004786536 0.0004479333 8.0729831487 0.0448837634 7.6911528002 0.0633229289
0.52500 0.0352024800 0.5741833900 0.3906141300 0.0001765081 0.0005139335 0.0004915061 9.0176902541 0.0500437681 8.6506673973 0.0682162806
0.55000 0.0336440000 0.5523232200 0.4140327800 0.0001880017 0.0005872360 0.0005642567 9.9969469112 0.0548448194 9.6365178867 0.0719149063
0.57500 0.0321784500 0.5309392600 0.4368822900 0.0001543593 0.0004940414 0.0004864502 11.0143947118 0.0546229502 10.6601415173 0.0768934870
0.60000 0.0307517200 0.5105066100 0.4587416700 0.0001725894 0.0004851627 0.0004966075 12.0573930875 0.0604905501 11.7199283081 0.0881144497
0.62500 0.0294545800 0.4907369000 0.4798085200 0.0001738609 0.0005301123 0.0004978560 13.1182090304 0.0783890980 12.7720334729 0.1006596795
0.65000 0.0281985700 0.4717249800 0.5000764500 0.0001706860 0.0004746292 0.0004925628 14.2074417933 0.0733653794 13.8888310106 0.1010093274
0.67500 0.0269903600 0.4534013600 0.5196082800 0.0001447781 0.0004885733 0.0004959279 15.3201299168 0.1023783058 15.0152660727 0.1435851658
0.70000 0.0258435800 0.4360034700 0.5381529500 0.0001599541 0.0005110027 0.0005039765 16.4634575280 0.1056410128 16.1710696730 0.1536034798
0.72500 0.0247522500 0.4191944100 0.5560533400 0.0001759544 0.0004607048 0.0005048863 17.5851058217 0.1069648448 17.3048439364 0.1572726139
0.75000 0.0237680900 0.4030665200 0.5731653900 0.0001349176 0.0004829479 0.0004845931 18.7559984426 0.1229442147 18.4871931287 0.1827969073
0.77500 0.0228333800 0.3876437100 0.5895229100 0.0001570786 0.0005033687 0.0005245479 19.9462983748 0.1164089038 19.6815218863 0.1786395658
0.80000 0.0218822100 0.3729748100 0.6051429800 0.0001477901 0.0004552298 0.0004807010 21.1310533391 0.1379620278 20.8666944946 0.2102726136
0.82500 0.0210566900 0.3589391400 0.6200041700 0.0001448097 0.0005029415 0.0005157403 22.3023395480 0.1563285043 22.0528943096 0.2456023283
0.85000 0.0202003200 0.3455835000 0.6342161800 0.0001312291 0.0004957346 0.0004936947 23.4966096406 0.1912751776 23.2456630798 0.2577222586
0.87500 0.0194011800 0.3327617300 0.6478370900 0.0001329008 0.0005066119 0.0005174436 24.6901907882 0.1827365272 24.4745949965 0.2723043324
0.90000 0.0186864000 0.3205878600 0.6607257400 0.0001416694 0.0004299970 0.0004382365 25.8744184694 0.1556928156 25.6796005885 0.2591943120
0.92500 0.0179730000 0.3089076800 0.6731193200 0.0001335712 0.0004322900 0.0004302886 27.0978048043 0.2103145631 26.9365847044 0.3007023709
0.95000 0.0172893000 0.2977674400 0.6849432600 0.0001323971 0.0004476958 0.0004400131 28.3357249841 0.2111052298 28.1604751844 0.2749229255
0.97500 0.0166527000 0.2871535200 0.6961937800 0.0001422868 0.0004845577 0.0004676966 29.5267743711 0.2020769534 29.3501221565 0.3215195234
1.00000 0.0160521400 0.2769489500 0.7069989100 0.0001330476 0.0004511735 0.0004743302 30.7511245049 0.2148539933 30.5951027701 0.3117727581
1.02500 0.0154848800 0.2672722100 0.7172429100 0.0001159142 0.0004671733 0.0004726356 32.0085387467 0.2514825671 31.8458915939 0.4228682095
