#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.99
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 100000
#Number of averages: N_avg = 4
#Number of alpha-values: N_alpha_s = 20
#Delta alpha_s: d_alpha_s = 0.1
#Seed: 9000
#
#alpha T A L_eff
0.10000 0.9809593555 0.0192242519 0.1922425193
0.20000 0.9747345295 0.0255901225 0.1279506126
0.30000 0.9498352252 0.0514667566 0.1715558553
0.40000 0.9630172098 0.0376839963 0.0942099908
0.50000 0.9282314171 0.0744742054 0.1489484109
0.60000 0.9406810692 0.0611511244 0.1019185406
0.70000 0.9143171000 0.0895778312 0.1279683303
0.80000 0.9055291102 0.0992358540 0.1240448174
0.90000 0.8989381179 0.1065410812 0.1183789792
1.00000 0.8784328085 0.1296158586 0.1296158586
1.10000 0.9135847675 0.0903791133 0.0821628303
1.20000 0.8758696448 0.1325380064 0.1104483387
1.30000 0.8714756499 0.1375673548 0.1058210422
1.40000 0.8725741487 0.1363076444 0.0973626031
1.50000 0.8447455145 0.1687198633 0.1124799089
1.60000 0.8916147931 0.1147210860 0.0717006787
1.70000 0.8465763457 0.1665548917 0.0979734657
1.80000 0.8271695350 0.1897456050 0.1054142250
1.90000 0.8582936653 0.1528089708 0.0804257741
2.00000 0.8535335042 0.1583704824 0.0791852412
