#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha-values: N_alpha_s = 18
#Delta alpha_s: d_alpha_s = 0.3
#Seed: 13001
#
#alpha T A L_eff
0.10000 0.9813689937 0.0188067498 0.1880674982
0.40000 0.9285074796 0.0741768426 0.1854421066
0.70000 0.8881091342 0.1186606447 0.1695152067
1.00000 0.8480309383 0.1648381600 0.1648381600
1.30000 0.8164352901 0.2028076225 0.1560058634
1.60000 0.7831397325 0.2444441410 0.1527775881
1.90000 0.7587092022 0.2761367078 0.1453351094
2.20000 0.7378428150 0.3040244648 0.1381929385
2.50000 0.7220393246 0.3256756754 0.1302702702
2.80000 0.7052867180 0.3491508666 0.1246967381
3.10000 0.6895228921 0.3717553813 0.1199210907
3.40000 0.6771022212 0.3899330260 0.1146861841
3.70000 0.6666024479 0.4055614409 0.1096112003
4.00000 0.6555162058 0.4223322533 0.1055830633
4.30000 0.6476314597 0.4344334795 0.1010310417
4.60000 0.6425997280 0.4422332556 0.0961376643
4.90000 0.6321622847 0.4586091382 0.0935937017
5.20000 0.6328932457 0.4574535193 0.0879718306
