#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.99
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 100000
#Number of averages: N_avg = 4
#Number of alpha_s-values: N_alpha_s = 20
#Delta alpha_s: d_alpha_s = 0.1
#Seed: 9000
#
#alpha_s <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.10000 0.0066975000 0.6053475000 0.3879550000 0.0000000000 0.0002056494 0.0015274898 0.0015153107 0.0000000000 20.6764029209 1.2984711881 23.1647968879 1.6106870851
0.20000 0.0066550000 0.6044725000 0.3888725000 0.0000000000 0.0002621068 0.0016488456 0.0017352497 0.0000000000 20.7572500592 1.5029379861 24.1296689955 1.7792560813
0.30000 0.0064850000 0.6055650000 0.3879500000 0.0000000000 0.0001652271 0.0024876964 0.0023308082 0.0000000000 22.5614540378 0.4732608140 25.3668908265 0.5793006109
0.40000 0.0065750000 0.6050075000 0.3884175000 0.0000000000 0.0003642801 0.0004984225 0.0004194739 0.0000000000 21.9182334578 0.3820875678 24.3880270800 0.5130639163
0.50000 0.0063375000 0.6046375000 0.3890250000 0.0000000000 0.0000699405 0.0022915261 0.0022303587 0.0000000000 22.6079038810 0.8240090983 25.1628727569 1.9433673482
0.60000 0.0064225000 0.6048200000 0.3887575000 0.0000000000 0.0003060909 0.0016484134 0.0017912263 0.0000000000 22.7934226683 1.8523798049 24.9106910573 2.8359648185
0.70000 0.0062425000 0.6032400000 0.3905175000 0.0000000000 0.0001693861 0.0023915825 0.0024291477 0.0000000000 23.5721444321 0.8110169715 25.8919285146 0.6524448348
0.80000 0.0061825000 0.6060825000 0.3877350000 0.0000000000 0.0000750000 0.0021580296 0.0020961314 0.0000000000 22.5548607484 1.1811874442 24.4637844244 2.1660573128
0.90000 0.0061375000 0.6047975000 0.3890650000 0.0000000000 0.0001977161 0.0007301313 0.0006407548 0.0000000000 22.9907211134 1.3008965306 24.6207427081 1.4857175471
1.00000 0.0059975000 0.6052275000 0.3887750000 0.0000000000 0.0001388944 0.0013530305 0.0014363031 0.0000000000 23.7553963876 0.7870202954 25.4281330196 1.1623634565
1.10000 0.0062375000 0.6061600000 0.3876025000 0.0000000000 0.0002588919 0.0007384217 0.0008786116 0.0000000000 23.1210098269 0.9688506325 24.9634870239 1.2015689736
1.20000 0.0059800000 0.6044900000 0.3895300000 0.0000000000 0.0003368481 0.0022187985 0.0024152847 0.0000000000 23.7673098105 0.7711056990 25.8918016611 1.8641983160
1.30000 0.0059500000 0.6052250000 0.3888250000 0.0000000000 0.0001368698 0.0014233646 0.0013118562 0.0000000000 23.7117324633 0.7125854489 24.8522269002 0.4077874827
1.40000 0.0059575000 0.6044350000 0.3896075000 0.0000000000 0.0002985939 0.0020949065 0.0018615473 0.0000000000 24.0874492891 0.7993693224 25.9344401643 0.7416214399
1.50000 0.0057675000 0.6045775000 0.3896550000 0.0000000000 0.0001600781 0.0009559768 0.0008192883 0.0000000000 23.4562449754 1.0897202644 24.5299731316 1.5003640110
1.60000 0.0060875000 0.6056425000 0.3882700000 0.0000000000 0.0001703673 0.0010940254 0.0009990329 0.0000000000 24.0435801862 1.2651650281 25.0448377817 0.6366329381
1.70000 0.0057800000 0.6036900000 0.3905300000 0.0000000000 0.0002461707 0.0009276134 0.0010345369 0.0000000000 23.8194011259 1.2638850714 23.9881268292 0.7549224707
1.80000 0.0056475000 0.6045875000 0.3897650000 0.0000000000 0.0002176197 0.0021138807 0.0021173332 0.0000000000 24.7719540890 1.5438524155 25.5106319890 1.9766240144
1.90000 0.0058600000 0.6038150000 0.3903250000 0.0000000000 0.0001722401 0.0006409628 0.0007188185 0.0000000000 24.3531533897 0.5380169551 24.7251617619 0.7317345335
2.00000 0.0058275000 0.6051475000 0.3890250000 0.0000000000 0.0002151550 0.0007902479 0.0008083935 0.0000000000 25.2969408226 1.5069545245 25.7590795266 2.4493796585
