#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.9
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha_s-values: N_alpha_s = 18
#Delta alpha_s: d_alpha_s = 0.3
#Seed: 13000
#
#alpha_s <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.10000 0.0024701900 0.1225711400 0.8749586700 0.0000000000 0.0000529404 0.0003341919 0.0003405944 0.0000000000 4.1469689357 0.0882902474 4.4232920521 0.1705481404
0.40000 0.0022959100 0.1230293000 0.8746747900 0.0000000000 0.0000450481 0.0003400324 0.0003501591 0.0000000000 4.3357339250 0.0969812815 4.5960990716 0.1838808432
0.70000 0.0021461700 0.1233476000 0.8745062300 0.0000000000 0.0000460097 0.0003316941 0.0003394743 0.0000000000 4.4899321043 0.1064313312 4.6672375853 0.1855685509
1.00000 0.0020186200 0.1237028900 0.8742784900 0.0000000000 0.0000484071 0.0002992350 0.0003037761 0.0000000000 4.6346392106 0.0986410829 4.7848662985 0.1768771945
1.30000 0.0019091400 0.1240090400 0.8740818200 0.0000000000 0.0000448200 0.0003181308 0.0003260210 0.0000000000 4.7756441271 0.1098171098 4.8228230677 0.1911461838
1.60000 0.0018212200 0.1243155400 0.8738632400 0.0000000000 0.0000401192 0.0003393722 0.0003411705 0.0000000000 4.9312048495 0.1168627400 4.9572836209 0.1891756315
1.90000 0.0017376800 0.1246391700 0.8736231500 0.0000000000 0.0000450452 0.0003191483 0.0003222654 0.0000000000 5.0657999368 0.1319039390 4.9909015347 0.1997369508
2.20000 0.0016670000 0.1249983800 0.8733346200 0.0000000000 0.0000383237 0.0003183293 0.0003185488 0.0000000000 5.1760798209 0.1202503830 5.0710923563 0.2103156349
2.50000 0.0016083600 0.1252480600 0.8731435800 0.0000000000 0.0000428482 0.0003193420 0.0003206629 0.0000000000 5.3188229806 0.1269654480 5.1315991968 0.2161353882
2.80000 0.0015503400 0.1256312700 0.8728183900 0.0000000000 0.0000347654 0.0003008876 0.0003041087 0.0000000000 5.4173473873 0.1355779066 5.1939310634 0.2185163497
3.10000 0.0014998800 0.1259861600 0.8725139600 0.0000000000 0.0000373596 0.0003297697 0.0003315484 0.0000000000 5.5106753811 0.1448056612 5.1985222554 0.2175509136
3.40000 0.0014519600 0.1263143100 0.8722337300 0.0000000000 0.0000424642 0.0003197827 0.0003171500 0.0000000000 5.6094852923 0.1422651505 5.2502658673 0.2045768262
3.70000 0.0014254400 0.1266078100 0.8719667500 0.0000000000 0.0000349173 0.0002951241 0.0002926141 0.0000000000 5.6835999333 0.1314775562 5.2599565469 0.1921312026
4.00000 0.0014008800 0.1269892400 0.8716098800 0.0000000000 0.0000383024 0.0003258306 0.0003278104 0.0000000000 5.7781043668 0.1588807296 5.3417250222 0.2275045858
4.30000 0.0013694700 0.1272984600 0.8713320700 0.0000000000 0.0000389790 0.0003024221 0.0003050819 0.0000000000 5.8579737488 0.1464649506 5.3981786718 0.2391437495
4.60000 0.0013483800 0.1276922200 0.8709594000 0.0000000000 0.0000365632 0.0003177216 0.0003200706 0.0000000000 5.9161543700 0.1266996482 5.3669638111 0.1982234569
4.90000 0.0013188900 0.1279817900 0.8706993200 0.0000000000 0.0000332088 0.0003337623 0.0003335313 0.0000000000 5.9655728408 0.1684992486 5.3929066565 0.2211216641
5.20000 0.0012986000 0.1283305800 0.8703708200 0.0000000000 0.0000357531 0.0003163160 0.0003203104 0.0000000000 6.0338855825 0.1724342582 5.4354895311 0.2210471349
