#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.99
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 100000
#Number of averages: N_avg = 4
#Number of alpha_s-values: N_alpha_s = 40
#Delta alpha_s: d_alpha_s = 0.1
#Seed: 19003
#
#alpha_s <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.10000 0.0066400000 0.6035125000 0.3898475000 0.0000000000 0.0002228602 0.0013931589 0.0014453690 0.0000000000 21.7074706759 1.2934981498 24.8194740533 1.4207185910
0.20000 0.0065025000 0.6047375000 0.3887600000 0.0000000000 0.0001633758 0.0004271904 0.0002777289 0.0000000000 23.1519254330 1.0028847415 25.7370067890 1.2870488618
0.30000 0.0064475000 0.6040925000 0.3894600000 0.0000000000 0.0001037224 0.0016949410 0.0016256896 0.0000000000 23.8119418322 0.9260465993 26.6558791703 1.1943698707
0.40000 0.0059875000 0.6054950000 0.3885175000 0.0000000000 0.0003442262 0.0008723340 0.0008457492 0.0000000000 24.6431180591 1.1919553850 26.8259709560 1.5588691517
0.50000 0.0059100000 0.6053275000 0.3887625000 0.0000000000 0.0002949576 0.0014366483 0.0016557450 0.0000000000 23.8678511388 0.5201876727 24.7434671022 0.4262474844
0.60000 0.0055875000 0.6060325000 0.3883800000 0.0000000000 0.0001567110 0.0012497300 0.0011480708 0.0000000000 24.4788814278 0.7503686115 26.3924016192 1.1731286918
0.70000 0.0059275000 0.6054225000 0.3886500000 0.0000000000 0.0002818244 0.0020020219 0.0022249345 0.0000000000 24.1396292906 1.0347945055 25.0166615749 2.2912138561
0.80000 0.0056250000 0.6060050000 0.3883700000 0.0000000000 0.0002431049 0.0011327400 0.0009811898 0.0000000000 25.6437139053 1.0597439436 26.5796433462 1.1562699442
0.90000 0.0055425000 0.6054525000 0.3890050000 0.0000000000 0.0002099802 0.0009483450 0.0007695237 0.0000000000 24.6323523394 1.1227458578 25.6323902999 0.9831906638
1.00000 0.0056650000 0.6054375000 0.3888975000 0.0000000000 0.0001920937 0.0022338961 0.0022225267 0.0000000000 25.2945747177 0.8484857954 26.8460021684 0.6328250477
1.10000 0.0055200000 0.6062850000 0.3881950000 0.0000000000 0.0002857738 0.0024830962 0.0022707781 0.0000000000 24.9544171056 0.9343316345 24.8705269502 1.7633182683
1.20000 0.0052650000 0.6074650000 0.3872700000 0.0000000000 0.0001552417 0.0012524509 0.0011394736 0.0000000000 26.1554744978 1.0533320237 26.7102134090 0.9690900385
1.30000 0.0054525000 0.6072475000 0.3873000000 0.0000000000 0.0001381726 0.0012173571 0.0010912378 0.0000000000 25.8729001801 1.3627777300 26.4726248388 2.0160246959
1.40000 0.0053750000 0.6073775000 0.3872475000 0.0000000000 0.0001963840 0.0015957731 0.0017201817 0.0000000000 27.5334306796 1.1450962314 27.4660567732 1.6217456334
1.50000 0.0053175000 0.6059950000 0.3886875000 0.0000000000 0.0002759680 0.0008956376 0.0008551949 0.0000000000 26.8140095244 0.2801338147 26.1685307059 1.7770080447
1.60000 0.0052400000 0.6080075000 0.3867525000 0.0000000000 0.0002472516 0.0018750000 0.0016809001 0.0000000000 27.2893146369 0.6890913466 27.9947102265 1.4260526702
