#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.99
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Sphere radius: R = 0.5
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of NA-values: N_R = 25
#Delta NA: d_NA = 0.025
#Seed: 5001
#
#NA <eps_c> <eps_e> <eps_w> std_eps_c std_eps_e std_eps_w <<path>> std<path> <std_path> <<std_path>>
0.05000 0.0004012800 0.6107653300 0.3888333900 0.0000227823 0.0005050405 0.0005059764 18.9965123162 1.1074911240 24.2864671012 1.9248077140
0.07500 0.0008958400 0.6101894400 0.3889147200 0.0000286465 0.0005335464 0.0005277439 18.9007289439 0.8050919787 23.8980856411 1.1727394944
0.10000 0.0015616200 0.6095998200 0.3888385600 0.0000392345 0.0005198505 0.0005167898 19.2217027932 0.6462505451 24.1878244571 0.9900050305
0.12500 0.0024071400 0.6087498400 0.3888430200 0.0000411918 0.0005241416 0.0005216593 19.6060810770 0.5118005742 24.3041260166 0.7977593456
0.15000 0.0033856600 0.6077579400 0.3888564000 0.0000581560 0.0004978046 0.0004945494 20.0859677364 0.4123456242 24.4957317824 0.6808910938
0.17500 0.0045037400 0.6065885300 0.3889077300 0.0000620053 0.0004431159 0.0004448970 20.4146484840 0.3894117488 24.5394075853 0.5622897437
0.20000 0.0057409600 0.6054599300 0.3887991100 0.0000734221 0.0004431826 0.0004390836 20.9086907939 0.3290657185 24.7823794017 0.4614693972
0.22500 0.0071276200 0.6040964900 0.3887758900 0.0000740906 0.0004807721 0.0004789528 21.2437784044 0.2891991193 24.7461881075 0.3898709768
0.25000 0.0086180700 0.6025209900 0.3888609400 0.0000935668 0.0004736290 0.0004659297 21.6905206500 0.2564324416 24.9717700047 0.3707132012
0.27500 0.0102147200 0.6009463200 0.3888389600 0.0001098191 0.0005160713 0.0005142730 22.0820684785 0.2401946943 25.0415686565 0.3387098258
0.30000 0.0119183900 0.5992046000 0.3888770100 0.0000972512 0.0004602053 0.0004628301 22.4681037755 0.2255311768 25.1288666761 0.3366592921
0.32500 0.0137152400 0.5974456200 0.3888391400 0.0001066052 0.0005052654 0.0005021479 22.9037274908 0.2245147900 25.2317178154 0.3059334525
0.35000 0.0155682000 0.5954984700 0.3889333300 0.0001031788 0.0004836036 0.0004760888 23.2843098554 0.1947255784 25.1998931567 0.2835334595
0.37500 0.0175107600 0.5936906000 0.3887986400 0.0001331053 0.0004927816 0.0004895618 23.7866328112 0.1969414928 25.3227813208 0.2933642581
0.40000 0.0195811900 0.5917048300 0.3887139800 0.0001422684 0.0005014670 0.0004835021 24.1200403167 0.1799134574 25.3821072863 0.2491475692
0.42500 0.0217260800 0.5894035300 0.3888703900 0.0001407243 0.0004630441 0.0004589366 24.5172276091 0.1837000856 25.4618740121 0.2729429093
0.45000 0.0240296500 0.5871051600 0.3888651900 0.0001415125 0.0004998660 0.0005047521 24.7953865611 0.1685677490 25.4644635967 0.2328207989
0.47500 0.0264699900 0.5847181000 0.3888119100 0.0001520257 0.0005261199 0.0005204674 25.0838469051 0.1581985002 25.5268800734 0.2019834446
0.50000 0.0290432900 0.5822071100 0.3887496000 0.0001676012 0.0004677903 0.0004478680 25.3296635235 0.1564485540 25.5570823668 0.2102297787
0.52500 0.0316942500 0.5795996400 0.3887061100 0.0001933534 0.0004877178 0.0004854303 25.5312116039 0.1265224907 25.5459962105 0.1871430048
0.55000 0.0345463400 0.5766275800 0.3888260800 0.0002037798 0.0005148315 0.0005440547 25.7003064865 0.1366990208 25.5503648466 0.1816751892
0.57500 0.0375389200 0.5735676300 0.3888934500 0.0002033466 0.0005386795 0.0005190966 25.8600785066 0.1274221855 25.5588453330 0.1989548469
0.60000 0.0405964200 0.5705524900 0.3888510900 0.0001805661 0.0005059331 0.0004942988 26.0059257995 0.1185498611 25.5915078927 0.1819596418
0.62500 0.0438042800 0.5673488500 0.3888468700 0.0001875980 0.0004822598 0.0004969632 26.1134819139 0.1126383452 25.5831883925 0.1539467406
0.65000 0.0471537300 0.5640039300 0.3888423400 0.0002356388 0.0005173914 0.0004921328 26.2397626161 0.1131412795 25.5996316180 0.1712130583
