#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.99
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of R-values: N_R = 26
#Delta R: d_R = 0.025
#Seed: 4
#
#R <eps_c> <eps_e> <eps_w> std_eps_c std_eps_e std_eps_w <<path>> std<path> <std_path> <<std_path>>
0.25000 0.0101491000 0.8587698600 0.1310810400 0.0000952788 0.0003648224 0.0003606405 3.8262758228 0.0384334515 4.0015383072 0.0609372230
0.27500 0.0099906000 0.8339804000 0.1560290000 0.0001032304 0.0003699956 0.0003796333 4.8547074061 0.0590948133 5.2803194557 0.0870802138
0.30000 0.0097039100 0.8085177600 0.1817783300 0.0000909279 0.0003781056 0.0003683079 6.0386653846 0.0686875477 6.7549852537 0.1130815608
0.32500 0.0093610500 0.7826215700 0.2080173800 0.0001028975 0.0004370195 0.0004331291 7.3875750463 0.0804260558 8.4161172752 0.1228929456
0.35000 0.0089957800 0.7565607800 0.2344434400 0.0001013815 0.0003925920 0.0003885878 8.9047066901 0.1180661398 10.2447191735 0.1726879395
0.37500 0.0086208200 0.7303993300 0.2609798500 0.0000877021 0.0004074147 0.0004176757 10.6085509802 0.1414070291 12.3125718150 0.1927721389
0.40000 0.0082288100 0.7042786000 0.2874925900 0.0000987549 0.0004940081 0.0004727661 12.4493507911 0.1637074113 14.4999137652 0.2536899135
0.42500 0.0078649300 0.6785590000 0.3135760700 0.0000857629 0.0004534286 0.0004491405 14.4581715631 0.1806203450 16.8838440777 0.2900876636
0.45000 0.0074888200 0.6533167800 0.3391944000 0.0000922255 0.0004036965 0.0003933329 16.5680785524 0.2246547938 19.3975141143 0.3565074913
0.47500 0.0071614400 0.6285631000 0.3642754600 0.0000758818 0.0004968115 0.0004748082 18.8853845890 0.2642386863 22.0710579237 0.3721793212
0.50000 0.0068342100 0.6043321700 0.3888336200 0.0000784688 0.0004678544 0.0004610133 21.1387983119 0.2898198940 24.7530717431 0.4421802695
0.52500 0.0065236500 0.5808999300 0.4125764200 0.0000910775 0.0004751729 0.0004794317 23.7453400847 0.3534775726 27.7845692868 0.4612025444
0.55000 0.0062024800 0.5581236500 0.4356738700 0.0000809530 0.0004879714 0.0004915070 26.3101980229 0.3946002846 30.7023607506 0.5967282090
0.57500 0.0059400900 0.5361421100 0.4579178000 0.0000716355 0.0004746261 0.0004761448 29.0038175237 0.4202034003 33.8732378748 0.5666431421
0.60000 0.0056683400 0.5150342600 0.4792974000 0.0000760391 0.0005539741 0.0005486038 31.6994259080 0.4473180752 36.9419753844 0.7124237675
0.62500 0.0054200300 0.4945870100 0.4999929600 0.0000719026 0.0005378373 0.0005453266 34.4729734758 0.4944232212 40.1259406397 0.7373364360
0.65000 0.0051753000 0.4750578800 0.5197668200 0.0000727722 0.0004650725 0.0004708654 37.3973036023 0.6166116041 43.5780352057 0.9273855707
0.67500 0.0049512500 0.4563613000 0.5386874500 0.0000695893 0.0005291228 0.0005358519 40.4342354104 0.6124179593 46.9765023139 0.8477887868
0.70000 0.0047544000 0.4383947800 0.5568508200 0.0000626692 0.0005041237 0.0005138642 43.4278624407 0.7717949413 50.4021562778 1.1932549625
0.72500 0.0045364500 0.4211290900 0.5743344600 0.0000612276 0.0005285044 0.0005284413 46.4245498911 0.8061819002 53.9039576342 1.2541671004
0.75000 0.0043510800 0.4047257300 0.5909231900 0.0000718089 0.0004753666 0.0004709752 49.5783080288 0.8476349495 57.5132750982 1.1246706744
0.77500 0.0041703200 0.3891088300 0.6067208500 0.0000614307 0.0004586545 0.0004601836 52.6404466569 0.9254706817 60.9257482088 1.3560584156
0.80000 0.0039984300 0.3741741000 0.6218274700 0.0000586602 0.0004903979 0.0004930572 55.7894147454 1.1435208106 64.4910329445 1.5082459288
0.82500 0.0038395500 0.3597776400 0.6363828100 0.0000560563 0.0004982377 0.0004982205 58.9010776705 1.0706053455 68.0221355685 1.6354407160
0.85000 0.0036860000 0.3462728400 0.6500411600 0.0000555309 0.0004716272 0.0004710066 62.0784673337 1.0633232826 71.6619232239 1.4445961650
0.87500 0.0035364200 0.3332196900 0.6632438900 0.0000574064 0.0005120095 0.0005145384 65.3482578899 1.2014480171 75.2328351986 1.8311444853
