#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Scattering coefficient: alpha_s = 3
#Anisotropy: g = 0.6
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha-values: N_alpha_s = 25
#Delta alpha_a: d_alpha_a = 0.04
#Seed: 9922
#
#alpha T A L_eff
0.01000 0.5309477176 0.6330917229 63.3091722885
0.05000 0.3828072843 0.9602235905 19.2044718092
0.09000 0.2962950082 1.2163996717 13.5155519072
0.13000 0.2409674178 1.4230935505 10.9468734654
0.17000 0.2008012896 1.6054394686 9.4437615802
0.21000 0.1716464208 1.7623186109 8.3919933854
0.25000 0.1491190097 1.9030105689 7.6120422755
0.29000 0.1314357868 2.0292368601 6.9973684829
0.33000 0.1170488407 2.1451639893 6.5004969373
0.37000 0.1053742350 2.2502371222 6.0817219520
0.41000 0.0951573947 2.3522229715 5.7371291989
0.45000 0.0865785460 2.4467032308 5.4371182906
0.49000 0.0789894809 2.5384405891 5.1804909981
0.53000 0.0735690915 2.6095302945 4.9236420650
0.57000 0.0677091071 2.6925345867 4.7237448890
0.61000 0.0627172960 2.7691180154 4.5395377302
0.65000 0.0588911370 2.8320646753 4.3570225774
0.69000 0.0551006100 2.8985944915 4.2008615819
0.73000 0.0513032527 2.9700011230 4.0684946891
0.77000 0.0483597706 3.0290869975 3.9338792175
0.81000 0.0456239224 3.0873230859 3.8115099826
0.85000 0.0431905843 3.1421327634 3.6966267805
0.89000 0.0405085877 3.2062412848 3.6025182975
0.93000 0.0388799216 3.2472773162 3.4916960390
0.97000 0.0368848956 3.2999531454 3.4020135520
