#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Scattering coefficient: alpha_s = 1e-06
#Anisotropy: g = 0.9
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 100000
#Number of averages: N_avg = 30
#Number of alpha-values: N_alpha_s = 50
#Delta alpha_a: d_alpha_a = 0.01
#Seed: 9800
#
#alpha T A L_eff
0.01000 0.9096897469 0.0946516751 9.4651675109
0.02000 0.8531133701 0.1588628328 7.9431416419
0.03000 0.8212363966 0.1969442736 6.5648091207
0.04000 0.7617710037 0.2721092885 6.8027322119
0.05000 0.7426636033 0.2975120915 5.9502418295
0.06000 0.7023052738 0.3533871065 5.8897851078
0.07000 0.6838502403 0.3800163322 5.4288047463
0.08000 0.6508552975 0.4294679387 5.3683492336
0.09000 0.6303499249 0.4614801774 5.1275575271
0.10000 0.5889664927 0.5293859854 5.2938598545
0.11000 0.5825351426 0.5403657647 4.9124160424
0.12000 0.5455325908 0.6059927307 5.0499394224
0.13000 0.5366780544 0.6223568904 4.7873606957
0.14000 0.5261459129 0.6421767037 4.5869764549
0.15000 0.5060132911 0.6811923431 4.5412822873
0.16000 0.4899818250 0.7133869805 4.4586686281
0.17000 0.4650027249 0.7657120135 4.5041883144
0.18000 0.4551227721 0.7871880676 4.3732670420
0.19000 0.4414214941 0.8177550910 4.3039741631
0.20000 0.4245513748 0.8567222563 4.2836112817
0.21000 0.3986401963 0.9196960325 4.3795049165
0.22000 0.4126209339 0.8852259430 4.0237542866
0.23000 0.3951916383 0.9283844716 4.0364542242
0.24000 0.3854049733 0.9534606189 3.9727525787
0.25000 0.3879214987 0.9469522827 3.7878091307
0.26000 0.3712376879 0.9909127532 3.8112028971
0.27000 0.3541810703 1.0379469985 3.8442481425
0.28000 0.3466314761 1.0594930919 3.7839038997
0.29000 0.3419710967 1.0730290581 3.7001002002
0.30000 0.3264991021 1.1193280803 3.7310936009
0.31000 0.3234232304 1.1287935027 3.6412693636
0.32000 0.3121452518 1.1642866490 3.6383957780
0.33000 0.3100947813 1.1708772820 3.5481129756
0.34000 0.2973256293 1.2129273459 3.5674333704
0.35000 0.2936906249 1.2252283620 3.5006524630
0.36000 0.2839039415 1.2591193320 3.4975537000
0.37000 0.2779388649 1.2803541001 3.4604164866
0.38000 0.2700163526 1.3092727565 3.4454546224
0.39000 0.2683387034 1.3155052778 3.3730904559
0.40000 0.2510024863 1.3822924345 3.4557310863
0.41000 0.2524005783 1.3767378570 3.3578972122
0.42000 0.2404702475 1.4251589080 3.3932354952
0.43000 0.2407498304 1.4239969328 3.3116207740
0.44000 0.2358099353 1.4447291575 3.2834753579
0.45000 0.2235068630 1.4983131584 3.3295847964
0.46000 0.2217358764 1.5062683516 3.2744964165
0.47000 0.2193125591 1.5172573561 3.2282071406
0.48000 0.2161436585 1.5318120065 3.1912750136
0.49000 0.2114832868 1.5536093060 3.1706312368
0.50000 0.2077550638 1.5713954708 3.1427909417
