#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Scattering coefficient: alpha_s = 1
#Anisotropy: g = 0.9
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 100000
#Number of averages: N_avg = 30
#Number of alpha-values: N_alpha_s = 50
#Delta alpha_a: d_alpha_a = 0.01
#Seed: 9800
#
#alpha T A L_eff
0.01000 0.7698411020 0.2615711465 26.1571146520
0.02000 0.7285055244 0.3167600701 15.8380035044
0.03000 0.6816231459 0.3832783458 12.7759448616
0.04000 0.6403157044 0.4457939361 11.1448484014
0.05000 0.5959533253 0.5175929282 10.3518585638
0.06000 0.5722162257 0.5582383420 9.3039723669
0.07000 0.5320585398 0.6310017584 9.0143108347
0.08000 0.5060674617 0.6810852950 8.5135661874
0.09000 0.4951368651 0.7029210596 7.8102339953
0.10000 0.4749884342 0.7444648242 7.4446482422
0.11000 0.4449460869 0.8098021571 7.3618377920
0.12000 0.4347215923 0.8330494704 6.9420789202
0.13000 0.4147510840 0.8800767362 6.7698210479
0.14000 0.4074283980 0.8978900721 6.4135005147
0.15000 0.3965196357 0.9250297165 6.1668647768
0.16000 0.3733469780 0.9852470559 6.1577940996
0.17000 0.3603844865 1.0205837994 6.0034341139
0.18000 0.3500448665 1.0496939427 5.8316330147
0.19000 0.3332401598 1.0988918483 5.7836413070
0.20000 0.3280628002 1.1145502249 5.5727511245
0.21000 0.3156917410 1.1529890447 5.4904240224
0.22000 0.3056293773 1.1853820964 5.3881004383
0.23000 0.3000941036 1.2036591748 5.2333007601
0.24000 0.2838515335 1.2593039468 5.2470997782
0.25000 0.2855377707 1.2533809619 5.0135238475
0.26000 0.2692142512 1.3122477435 5.0471067057
0.27000 0.2636444653 1.3331538060 4.9376066887
0.28000 0.2547698614 1.3673946455 4.8835523054
0.29000 0.2532265404 1.3734707744 4.7361061185
0.30000 0.2527013875 1.3755467740 4.5851559132
0.31000 0.2380627773 1.4352208699 4.6297447416
0.32000 0.2293881763 1.4723396173 4.6010613040
0.33000 0.2296029458 1.4714037844 4.4587993465
0.34000 0.2238787514 1.4966506622 4.4019137123
0.35000 0.2190440127 1.5184825982 4.3385217092
0.36000 0.2122404772 1.5500353205 4.3056536681
0.37000 0.2022191232 1.5984034010 4.3200091918
0.38000 0.1944573566 1.6375423863 4.3093220693
0.39000 0.2003267660 1.6078054159 4.1225779894
0.40000 0.1939350891 1.6402317680 4.1005794200
0.41000 0.1822872670 1.7021714461 4.1516376734
0.42000 0.1838041082 1.6938847180 4.0330588523
0.43000 0.1770012069 1.7315987277 4.0269737854
0.44000 0.1703522255 1.7698870707 4.0224706152
0.45000 0.1680427365 1.7835369477 3.9634154394
0.46000 0.1700316837 1.7717704843 3.8516749659
0.47000 0.1607081276 1.8281654315 3.8897136841
0.48000 0.1554175957 1.8616396190 3.8784158729
0.49000 0.1491133333 1.9030486358 3.8837727262
0.50000 0.1515890163 1.8865822601 3.7731645202
