#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Scattering coefficient: alpha_s = 1
#Anisotropy: g = 0.9
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha-values: N_alpha_s = 100
#Delta alpha_a: d_alpha_a = 0.01
#Seed: 9810
#
#alpha T A L_eff
0.01000 0.7811513567 0.2469863493 24.6986349289
0.02000 0.7277099869 0.3178526798 15.8926339896
0.03000 0.6823015878 0.3822835081 12.7427836019
0.04000 0.6409003611 0.4448812770 11.1220319251
0.05000 0.6065608248 0.4999502673 9.9990053468
0.06000 0.5728020044 0.5572151641 9.2869194010
0.07000 0.5455922294 0.6058834149 8.6554773562
0.08000 0.5196467355 0.6546060531 8.1825756634
0.09000 0.4965644194 0.7000420569 7.7782450766
0.10000 0.4748419922 0.7447731783 7.4477317832
0.11000 0.4562992325 0.7846064730 7.1327861186
0.12000 0.4370171036 0.8277829459 6.8981912161
0.13000 0.4238762741 0.8583136727 6.6024128669
0.14000 0.4075898285 0.8974939324 6.4106709461
0.15000 0.3932227557 0.9333790194 6.2225267959
0.16000 0.3789468673 0.9703592755 6.0647454717
0.17000 0.3650835923 1.0076289315 5.9272290089
0.18000 0.3545448397 1.0369204539 5.7606691881
0.19000 0.3409325676 1.0760705702 5.6635293166
0.20000 0.3316994194 1.1035260834 5.5176304170
0.21000 0.3210624295 1.1361196902 5.4100937629
0.22000 0.3108897740 1.1683168540 5.3105311543
0.23000 0.3034283961 1.1926096236 5.1852592331
0.24000 0.2937099095 1.2251627012 5.1048445884
0.25000 0.2839527950 1.2589472693 5.0357890773
0.26000 0.2788464696 1.2770939368 4.9118997568
0.27000 0.2696510792 1.3106264549 4.8541720550
0.28000 0.2630796408 1.3352984758 4.7689231279
0.29000 0.2563224167 1.3613191868 4.6942040923
0.30000 0.2487985869 1.3911115980 4.6370386599
0.31000 0.2414090908 1.4212623124 4.5847171369
0.32000 0.2354990751 1.4460482930 4.5189009155
0.33000 0.2299623902 1.4698395042 4.4540591037
0.34000 0.2235910883 1.4979363942 4.4056952770
0.35000 0.2177487529 1.5244133903 4.3554668294
0.36000 0.2122882322 1.5498103417 4.3050287270
0.37000 0.2065455533 1.5772342937 4.2627953883
0.38000 0.2013697610 1.6026124542 4.2174011953
0.39000 0.1973052569 1.6230032220 4.1615467231
0.40000 0.1933155496 1.6434314532 4.1085786330
0.41000 0.1875975210 1.6734564570 4.0816011147
0.42000 0.1831272612 1.6975739516 4.0418427419
0.43000 0.1789984138 1.7203783347 4.0008798482
0.44000 0.1755571513 1.7397906405 3.9540696375
0.45000 0.1705155463 1.7689288057 3.9309529016
0.46000 0.1670043134 1.7897356382 3.8907296482
0.47000 0.1631754236 1.8129294383 3.8572966773
0.48000 0.1592848743 1.8370610175 3.8272104532
0.49000 0.1552754465 1.8625546649 3.8011319693
0.50000 0.1514176667 1.8877132561 3.7754265121
0.51000 0.1487958355 1.9051801439 3.7356473410
0.52000 0.1449204544 1.9315702775 3.7145582260
0.53000 0.1411207424 1.9581394261 3.6946026908
0.54000 0.1384026851 1.9775878350 3.6621996944
0.55000 0.1351140644 2.0016359361 3.6393380657
0.56000 0.1324807280 2.0213180933 3.6094965951
0.57000 0.1296757839 2.0427179135 3.5837156377
0.58000 0.1271477382 2.0624055760 3.5558716827
0.59000 0.1239115679 2.0881871297 3.5393002198
0.60000 0.1213336574 2.1092110289 3.5153517148
0.61000 0.1187147322 2.1310318723 3.4934948727
0.62000 0.1166425111 2.1486414826 3.4655507783
0.63000 0.1129509213 2.1808018798 3.4615902853
0.64000 0.1112410666 2.1960556616 3.4313369712
0.65000 0.1085181413 2.2208379189 3.4166737214
0.66000 0.1065214511 2.2394088956 3.3930437812
0.67000 0.1045708704 2.2578902516 3.3699854501
0.68000 0.1015459610 2.2872437653 3.3635937725
0.69000 0.1002956219 2.2996332348 3.3328017896
0.70000 0.0972492232 2.3304782841 3.3292546915
0.71000 0.0956834699 2.3467097239 3.3052249633
0.72000 0.0939343476 2.3651591710 3.2849432930
0.73000 0.0910451247 2.3964000198 3.2827397531
0.74000 0.0889613586 2.4195531767 3.2696664550
0.75000 0.0882693275 2.4273625988 3.2364834650
0.76000 0.0857099164 2.4567867497 3.2326141443
0.77000 0.0844018352 2.4721661332 3.2106053678
0.78000 0.0822127281 2.4984451457 3.2031348022
0.79000 0.0806843228 2.5172109874 3.1863430220
0.80000 0.0785514782 2.5440010962 3.1800013702
0.81000 0.0776219981 2.5559044115 3.1554375450
