#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Radius of sphere: R = 0.5
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha-values: N_R = 100
#Delta alpha: d_alpha = 0.01
#Seed: 7002
#
#alpha <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.01000 0.0032861400 0.2047307700 0.6946509500 0.0973321400 0.0000638943 0.0003926588 0.0004704010 0.0003221697 6.5859403396 0.1294418224 7.8779926469 0.2242553280
0.02000 0.0030886600 0.1853055100 0.6332783800 0.1783274500 0.0000622412 0.0003556762 0.0004288543 0.0003926515 6.0209732412 0.1338611441 7.1237259719 0.2346216435
0.03000 0.0029134500 0.1687922900 0.5812842600 0.2470100000 0.0000577884 0.0003978396 0.0005228698 0.0003906731 5.5625294986 0.1127038841 6.5146082411 0.1997282189
0.04000 0.0027649600 0.1546226400 0.5367649100 0.3058474900 0.0000593398 0.0003432804 0.0005078420 0.0005133882 5.1805868494 0.1214356415 5.9480377686 0.2064003093
0.05000 0.0026294100 0.1424526300 0.4980730900 0.3568448700 0.0000528423 0.0003667311 0.0004593451 0.0004974315 4.8585532016 0.1168158088 5.5188836975 0.2331781598
0.06000 0.0025106700 0.1317098200 0.4643349100 0.4014446000 0.0000474235 0.0003131281 0.0005087637 0.0004933835 4.5461042533 0.0954429838 5.0821046032 0.1743759975
0.07000 0.0023974600 0.1223058200 0.4344992700 0.4407974500 0.0000459296 0.0003292782 0.0005252082 0.0004899457 4.3366849563 0.1040545002 4.7521206976 0.1798112829
0.08000 0.0022983500 0.1140094100 0.4078731200 0.4758191200 0.0000469686 0.0003584046 0.0005053690 0.0005187106 4.1041836127 0.1016838793 4.3926368169 0.1847625146
0.09000 0.0022139800 0.1065421600 0.3842411900 0.5070026700 0.0000465670 0.0002984823 0.0004959713 0.0004993318 3.9283055156 0.0866543656 4.0958983884 0.1709549891
0.10000 0.0021209000 0.0998433100 0.3628326100 0.5352031800 0.0000490591 0.0003013794 0.0005113551 0.0005619150 3.7667169040 0.0790298185 3.8542585373 0.1515659597
0.11000 0.0020426700 0.0937691100 0.3437207200 0.5604675000 0.0000490712 0.0002739184 0.0004638148 0.0004799494 3.6489250816 0.0819685332 3.6713237980 0.1700393714
0.12000 0.0019712800 0.0882931100 0.3261984200 0.5835371900 0.0000448806 0.0003004036 0.0005013049 0.0005176308 3.5097087952 0.0806386334 3.4357210691 0.1651835917
0.13000 0.0019023800 0.0833430300 0.3101035600 0.6046510300 0.0000427284 0.0002624400 0.0004826852 0.0005040998 3.3967199117 0.0698470248 3.2541964996 0.1570845844
0.14000 0.0018486100 0.0787834800 0.2954256100 0.6239423000 0.0000401595 0.0002551654 0.0004340605 0.0004429045 3.2924757058 0.0772591527 3.0985205195 0.1576916089
0.15000 0.0017824300 0.0745450100 0.2819415300 0.6417310300 0.0000432464 0.0002551371 0.0004395931 0.0004478777 3.1996787206 0.0741039689 2.9040340824 0.1603231516
0.16000 0.0017204300 0.0707158600 0.2694715700 0.6580921400 0.0000432270 0.0002586004 0.0004046360 0.0004003701 3.1213546557 0.0621510856 2.7834231516 0.1361995895
0.17000 0.0016778500 0.0671190600 0.2579909100 0.6732121800 0.0000388832 0.0003016002 0.0003905144 0.0003619796 3.0532529776 0.0659472423 2.6686667874 0.1525076307
0.18000 0.0016192400 0.0638599600 0.2473075100 0.6872132900 0.0000405812 0.0002425941 0.0003972961 0.0004357123 2.9816181941 0.0673856789 2.5196692835 0.1641447174
0.19000 0.0015814500 0.0607813300 0.2373360000 0.7003012200 0.0000400016 0.0002196091 0.0004236872 0.0004639370 2.9319464978 0.0580486499 2.4348985483 0.1345002588
0.20000 0.0015368200 0.0579614600 0.2280170000 0.7124847200 0.0000397582 0.0002115215 0.0004071151 0.0004427917 2.8525362747 0.0591891701 2.2862652127 0.1413527054
0.21000 0.0014903100 0.0553065200 0.2193534500 0.7238497200 0.0000363426 0.0002436131 0.0004363067 0.0004309150 2.8216969896 0.0561794750 2.2375575129 0.1338154442
0.22000 0.0014469100 0.0528001100 0.2112544200 0.7344985600 0.0000325955 0.0001979885 0.0004104036 0.0004751328 2.7667033183 0.0567462212 2.1376565588 0.1319690205
0.23000 0.0014072600 0.0504952200 0.2035897100 0.7445078100 0.0000360949 0.0002108181 0.0004126010 0.0004227781 2.7250037896 0.0516441215 2.0402546867 0.1294789012
0.24000 0.0013723200 0.0483074500 0.1964482600 0.7538719700 0.0000371222 0.0002072215 0.0004027335 0.0004700848 2.6792492631 0.0498730956 1.9687456174 0.1289209062
0.25000 0.0013438000 0.0462847000 0.1897131300 0.7626583700 0.0000358126 0.0002167527 0.0004086782 0.0004465221 2.6399871431 0.0472392790 1.8772531430 0.1153263179
0.26000 0.0013011800 0.0443636300 0.1833722200 0.7709629700 0.0000432307 0.0002002249 0.0003855145 0.0004278519 2.6196046691 0.0478083644 1.8367170365 0.1112150485
0.27000 0.0012608100 0.0425554600 0.1772658800 0.7789178500 0.0000374812 0.0001934953 0.0004139050 0.0004190618 2.5815153642 0.0425336853 1.7553725358 0.1005523871
0.28000 0.0012434800 0.0409022100 0.1716087800 0.7862455300 0.0000405379 0.0001958960 0.0003774298 0.0004093655 2.5537359813 0.0457419269 1.6994835358 0.1180385329
0.29000 0.0012021000 0.0392526700 0.1661718800 0.7933733500 0.0000374337 0.0002025979 0.0003981093 0.0003961241 2.5197059806 0.0453213560 1.6288959752 0.1255676885
0.30000 0.0011743800 0.0377266100 0.1610161400 0.8000828700 0.0000391389 0.0001867572 0.0003731576 0.0004172858 2.5030357545 0.0479847780 1.6046419920 0.1236318825
0.31000 0.0011483800 0.0362813900 0.1561453000 0.8064249300 0.0000346097 0.0002045883 0.0003736248 0.0004377526 2.4746950226 0.0506338124 1.5294426051 0.1212931957
0.32000 0.0011225000 0.0349153800 0.1515091900 0.8124529300 0.0000372893 0.0001876970 0.0003275403 0.0003232761 2.4529431253 0.0459728666 1.4855895737 0.1091079432
0.33000 0.0010910700 0.0336039500 0.1471300800 0.8181749000 0.0000332044 0.0001823182 0.0003408349 0.0003820558 2.4317136227 0.0358239914 1.4407536893 0.1045042466
0.34000 0.0010599500 0.0323696400 0.1428550000 0.8237154100 0.0000331472 0.0001534373 0.0003386048 0.0003450382 2.4076674650 0.0438351693 1.3847933318 0.1143051803
0.35000 0.0010391300 0.0311995800 0.1388497900 0.8289115000 0.0000323643 0.0001790963 0.0003506845 0.0003621057 2.3946669343 0.0394253263 1.3667622661 0.1090150707
0.36000 0.0010130100 0.0300833300 0.1350318800 0.8338717800 0.0000320386 0.0001555074 0.0003495243 0.0003459087 2.3745316376 0.0383916725 1.3105520313 0.0920155122
0.37000 0.0009915400 0.0290265600 0.1313015900 0.8386803100 0.0000316612 0.0001623770 0.0003810392 0.0004130197 2.3512979937 0.0385409220 1.2569293766 0.1070269130
0.38000 0.0009694500 0.0279963100 0.1277860500 0.8432481900 0.0000323502 0.0001610154 0.0003324463 0.0003498636 2.3386933814 0.0400175640 1.2274219252 0.1039270625
0.39000 0.0009439500 0.0270278100 0.1244225300 0.8476057100 0.0000325568 0.0001817281 0.0003258657 0.0003699084 2.3272349319 0.0371194844 1.2012983280 0.1007425075
0.40000 0.0009200000 0.0260901700 0.1211553500 0.8518344800 0.0000310197 0.0001587725 0.0003076571 0.0003423188 2.3103013575 0.0414046812 1.1585740605 0.1136376013
0.41000 0.0009013000 0.0252290600 0.1181573100 0.8557123300 0.0000289923 0.0001706761 0.0003277622 0.0003549917 2.2987967953 0.0354159672 1.1305254823 0.1018006210
0.42000 0.0008794500 0.0243892700 0.1151050100 0.8596262700 0.0000292476 0.0001643722 0.0002945467 0.0003563514 2.2859417225 0.0342247404 1.0994365778 0.1050206709
0.43000 0.0008600800 0.0235705200 0.1122711300 0.8632982700 0.0000300477 0.0001490733 0.0003296192 0.0003341848 2.2690676684 0.0370553893 1.0660945289 0.1166293373
