#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Scattering coefficient: alpha_s = 1e-06
#Anisotropy: g 0.9
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 100000
#Number of averages: N_avg = 30
#Number of alpha_s-values: N_alpha_s = 50
#Delta alpha_a: d_alpha_a = 0.01
#Seed: 9800
#
#alpha_a <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.01000 0.0032533538 0.2045048010 0.6947963724 0.0000000001 0.0001799102 0.0013007098 0.0013271967 0.0000000000 6.6059382989 0.4438623191 7.9609372720 0.7316892106
0.02000 0.0030510178 0.1851461301 0.6332659693 0.0000000001 0.0001580572 0.0012543675 0.0016231652 0.0000000000 6.0116822374 0.3567347280 7.2074521990 0.7704130668
0.03000 0.0029370151 0.1688415252 0.5810604714 0.0000000001 0.0001967874 0.0010763517 0.0014003027 0.0000000000 5.5476362421 0.3344383382 6.4872560517 0.5255066267
0.04000 0.0027243470 0.1546463171 0.5369781264 0.0000000000 0.0001454760 0.0009924817 0.0012882733 0.0000000000 5.1434148880 0.3267630418 5.9060169940 0.6559290610
0.05000 0.0026560126 0.1426081439 0.4978589345 0.0000000000 0.0001658541 0.0010983214 0.0015246666 0.0000000000 4.8098656194 0.3543585286 5.4669076030 0.5744133131
0.06000 0.0025116778 0.1318686652 0.4643978334 0.0000000000 0.0001156120 0.0012806121 0.0016361096 0.0000000000 4.5978492843 0.3598819232 5.0724875577 0.6689227556
0.07000 0.0024456764 0.1221908883 0.4348197988 0.0000000000 0.0001786859 0.0007601469 0.0015021037 0.0000000000 4.3266586009 0.3652705366 4.6560195904 0.6726440986
0.08000 0.0023276755 0.1139407879 0.4081658372 0.0000000000 0.0001687819 0.0009076829 0.0013187774 0.0000000000 4.1754005834 0.3351430860 4.4124140168 0.6428840968
0.09000 0.0022543414 0.1063943756 0.3843895808 0.0000000000 0.0001642891 0.0010094064 0.0015943271 0.0000000000 3.9127432658 0.3039137035 4.0514466547 0.5652236739
0.10000 0.0021063405 0.0999376346 0.3630460182 0.0000048155 0.0001079422 0.0008969361 0.0014517230 0.0000000118 3.7642509571 0.2751779420 3.8123078646 0.5270050955
0.11000 0.0020833398 0.0937882468 0.3435711802 0.0000045856 0.0001195787 0.0009878264 0.0014473477 0.0000000168 3.6965175078 0.2644764415 3.7658756717 0.5849737096
0.12000 0.0019510064 0.0883195312 0.3259053333 0.0000043783 0.0001605876 0.0008677937 0.0014205509 0.0000000159 3.5300753651 0.2232586953 3.4546269692 0.4281760552
0.13000 0.0019193396 0.0832608101 0.3098768787 0.0000041874 0.0001609868 0.0009515059 0.0014930832 0.0000000112 3.3820339600 0.2478205681 3.1505938444 0.4425267108
0.14000 0.0018816732 0.0789124408 0.2948987305 0.0000040155 0.0001198877 0.0007320550 0.0017194953 0.0000000115 3.3287500597 0.2608746634 3.1363415948 0.4970406093
0.15000 0.0018096722 0.0748610732 0.2819182884 0.0000038488 0.0001401589 0.0007249582 0.0017045960 0.0000000113 3.2155992880 0.2022989532 2.9526377407 0.4605354509
0.16000 0.0017523383 0.0704280377 0.2695061937 0.0000037035 0.0001338730 0.0006374799 0.0018091406 0.0000000098 3.0881758711 0.1567979736 2.6087706389 0.3360882688
