#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Scattering coefficient: alpha_s = 1
#Anisotropy: g 0.9
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 100000
#Number of averages: N_avg = 30
#Number of alpha_s-values: N_alpha_s = 50
#Delta alpha_a: d_alpha_a = 0.01
#Seed: 9800
#
#alpha_a <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.01000 0.0027532084 0.2054613903 0.6945548810 0.0000000000 0.0001652563 0.0014289146 0.0015071774 0.0000000000 7.7895785129 0.3557969029 8.6006377525 0.5328813541
0.02000 0.0026053786 0.1866205156 0.6325599309 0.0000000000 0.0001327949 0.0010424458 0.0010159943 0.0000000000 6.8964812590 0.4087632906 7.6445353092 0.5079605419
0.03000 0.0024377116 0.1696809471 0.5811712760 0.0000000000 0.0001463732 0.0010043277 0.0012340989 0.0000000000 6.2626178021 0.2902569600 6.8150345845 0.3612366145
0.04000 0.0022899824 0.1554707682 0.5368342304 0.0000000000 0.0001197744 0.0012268725 0.0014573487 0.0000000000 5.8489256476 0.3070993504 6.3157336309 0.3695286476
0.05000 0.0021313277 0.1434689639 0.4980228071 0.0000000000 0.0001270802 0.0008873658 0.0011393608 0.0000000000 5.5873708161 0.2115939431 5.9815100914 0.2296005076
0.06000 0.0020464360 0.1332558196 0.4638159418 0.0000000000 0.0001558199 0.0008638265 0.0010555334 0.0000000000 5.1641579005 0.2606961802 5.5409875482 0.2930342929
0.07000 0.0019028187 0.1235965251 0.4347473843 0.0000000000 0.0001170487 0.0009798523 0.0013937894 0.0000000000 4.8439135833 0.2003343014 5.0651226713 0.2320145338
0.08000 0.0018098659 0.1150879011 0.4081568959 0.0000000000 0.0001147885 0.0007041772 0.0009590695 0.0000000000 4.6604127119 0.2559115070 4.8321659125 0.2770695582
0.09000 0.0017707745 0.1080538218 0.3840772364 0.0000000001 0.0001000107 0.0009466023 0.0011068308 0.0000000001 4.4308937036 0.2196940853 4.4519430005 0.1859312549
0.10000 0.0016987170 0.1012411166 0.3629330781 0.0000000003 0.0001181672 0.0007692900 0.0011133242 0.0000000002 4.1501009059 0.1571801276 4.1456605592 0.1745880377
