#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Scattering coefficient: alpha_s = 1
#Anisotropy: g 0.9
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha_s-values: N_alpha_s = 100
#Delta alpha_a: d_alpha_a = 0.01
#Seed: 9810
#
#alpha_a <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.01000 0.0027594172 0.2056415400 0.6944281407 0.0000000000 0.0000514430 0.0004257375 0.0004312373 0.0000000000 7.4672059236 0.1423506480 8.3685043101 0.1906361980
0.02000 0.0025706355 0.1862503797 0.6330431959 0.0000000000 0.0000420349 0.0003305178 0.0003549533 0.0000000000 6.8090327484 0.1096530440 7.5482523177 0.1383787433
0.03000 0.0024102304 0.1697774763 0.5811635702 0.0000000000 0.0000508340 0.0003703314 0.0003983931 0.0000000000 6.3032842103 0.1004559890 6.9126992161 0.1223516857
0.04000 0.0022639805 0.1557521434 0.5365885558 0.0000000000 0.0000379298 0.0003217312 0.0003386120 0.0000000000 5.8570460344 0.0836860366 6.3697842762 0.1026647904
0.05000 0.0021426761 0.1435842011 0.4980352565 0.0000000000 0.0000444993 0.0003035603 0.0003721726 0.0000000000 5.4785504841 0.0856314714 5.9036862485 0.0986925135
0.06000 0.0020234231 0.1329758192 0.4642435863 0.0000000000 0.0000407123 0.0002616005 0.0003176491 0.0000000000 5.1773020603 0.0744310812 5.4804234955 0.0821135938
0.07000 0.0019273046 0.1235552223 0.4345091030 0.0000000000 0.0000372274 0.0002404688 0.0003212856 0.0000000000 4.8789360147 0.0713180267 5.0964950567 0.0755340703
0.08000 0.0018356521 0.1152342672 0.4080128788 0.0000000000 0.0000373572 0.0002624458 0.0002940707 0.0000000000 4.6496090473 0.0725419574 4.7805686247 0.0809853213
0.09000 0.0017541138 0.1078435524 0.3843734040 0.0000000001 0.0000369982 0.0002548777 0.0003270543 0.0000000000 4.4396876068 0.0667852765 4.4911700001 0.0664259568
0.10000 0.0016773793 0.1011778696 0.3629834506 0.0000000002 0.0000366417 0.0002090523 0.0003218968 0.0000000000 4.2374853051 0.0647398542 4.2299146961 0.0704898283
0.11000 0.0016118770 0.0951465949 0.3436693704 0.0000000006 0.0000336071 0.0002140772 0.0003027741 0.0000000001 4.0752725271 0.0534814579 3.9824574655 0.0611435895
0.12000 0.0015437629 0.0897333837 0.3261819747 0.0000000015 0.0000319149 0.0002072694 0.0002820787 0.0000000001 3.9286034550 0.0507617561 3.7751924808 0.0553634589
0.13000 0.0014973429 0.0847577850 0.3102317486 0.0000000028 0.0000311795 0.0001910617 0.0003203355 0.0000000002 3.7837194804 0.0511993856 3.5651819036 0.0584890012
0.14000 0.0014398111 0.0801764394 0.2955833366 0.0000000058 0.0000323844 0.0001819881 0.0002458293 0.0000000003 3.6724523365 0.0470526129 3.3922704361 0.0516249435
0.15000 0.0013890594 0.0759968438 0.2821478913 0.0000000088 0.0000350590 0.0001949668 0.0002823886 0.0000000003 3.5548061530 0.0476659488 3.2261903894 0.0465982600
0.16000 0.0013386298 0.0721804819 0.2696724844 0.0000000143 0.0000347186 0.0001884393 0.0002726900 0.0000000004 3.4578853573 0.0430976761 3.0770127616 0.0508575457
0.17000 0.0012896578 0.0686546511 0.2582090640 0.0000000204 0.0000289507 0.0002025727 0.0003134443 0.0000000005 3.3667304564 0.0446504075 2.9366286970 0.0526209741
0.18000 0.0012524296 0.0653503057 0.2474746992 0.0000000306 0.0000250951 0.0001522830 0.0003000525 0.0000000005 3.2890864330 0.0407539808 2.8112460205 0.0522785084
0.19000 0.0012043443 0.0622979222 0.2376193851 0.0000000383 0.0000275442 0.0001581667 0.0003126378 0.0000000006 3.2119462312 0.0341983344 2.6912736042 0.0416791459
0.20000 0.0011717282 0.0594743514 0.2282651357 0.0000000506 0.0000279592 0.0001521320 0.0002682734 0.0000000007 3.1417812840 0.0390580338 2.5827129685 0.0424998391
0.21000 0.0011341530 0.0568621729 0.2196503117 0.0000000695 0.0000284597 0.0002000731 0.0002917360 0.0000000007 3.0740870120 0.0402365536 2.4744242956 0.0463014319
0.22000 0.0010982181 0.0543983906 0.2115454091 0.0000001001 0.0000295694 0.0001562430 0.0002759251 0.0000000009 3.0201089920 0.0356965076 2.3839915633 0.0399788194
0.23000 0.0010718608 0.0520689023 0.2039542765 0.0000001154 0.0000291163 0.0001531410 0.0002513624 0.0000000009 2.9590451628 0.0339912212 2.2886888218 0.0443396189
0.24000 0.0010375303 0.0499218028 0.1967402948 0.0000001357 0.0000230252 0.0001236480 0.0002786448 0.0000000010 2.9117511274 0.0346160249 2.2035016019 0.0427449490
0.25000 0.0010030632 0.0478610319 0.1899740493 0.0000001671 0.0000242729 0.0001228415 0.0002760544 0.0000000011 2.8653276782 0.0288345067 2.1298195734 0.0381372175
0.26000 0.0009850252 0.0459451617 0.1836585688 0.0000002107 0.0000254564 0.0001367030 0.0002732088 0.0000000014 2.8175795995 0.0318332711 2.0467981888 0.0384571916
0.27000 0.0009525424 0.0441496952 0.1776318652 0.0000002024 0.0000245266 0.0001439499 0.0002308583 0.0000000012 2.7813562392 0.0302149664 1.9839700298 0.0379329837
0.28000 0.0009293288 0.0424246642 0.1719399987 0.0000002689 0.0000246522 0.0001526399 0.0002630935 0.0000000015 2.7445530189 0.0317454688 1.9160069548 0.0387552699
0.29000 0.0009054589 0.0408497428 0.1665081240 0.0000002656 0.0000254727 0.0001503591 0.0002439325 0.0000000014 2.7106598043 0.0306132685 1.8556517304 0.0372928422
0.30000 0.0008788810 0.0393289941 0.1613445238 0.0000003736 0.0000229213 0.0001380186 0.0002784840 0.0000000016 2.6699434156 0.0277647464 1.7872675445 0.0356024676
0.31000 0.0008527776 0.0378899984 0.1565245059 0.0000003842 0.0000243536 0.0001270634 0.0002384359 0.0000000020 2.6436283460 0.0268809760 1.7340544627 0.0366986730
0.32000 0.0008319005 0.0365004810 0.1519286817 0.0000004083 0.0000203983 0.0001185406 0.0002749553 0.0000000021 2.6119784461 0.0279735758 1.6822722578 0.0367555591
0.33000 0.0008123421 0.0352281959 0.1474645336 0.0000004340 0.0000211795 0.0001169499 0.0002280240 0.0000000020 2.5812679255 0.0278318228 1.6265555876 0.0341320946
0.34000 0.0007898355 0.0339767051 0.1432885716 0.0000004685 0.0000192480 0.0001236361 0.0002615808 0.0000000016 2.5602900808 0.0234338499 1.5845430073 0.0347985225
0.35000 0.0007691975 0.0328128717 0.1392102228 0.0000005146 0.0000200449 0.0001193723 0.0002384046 0.0000000020 2.5415160479 0.0247759265 1.5435038416 0.0323847183
0.36000 0.0007499082 0.0317126854 0.1354075937 0.0000005850 0.0000222341 0.0001031718 0.0002520654 0.0000000024 2.5112326255 0.0228367905 1.4941827032 0.0326349609
0.37000 0.0007296222 0.0306364366 0.1317646996 0.0000006612 0.0000220967 0.0001034001 0.0002491646 0.0000000023 2.4933881183 0.0210075049 1.4592393063 0.0289896927
0.38000 0.0007113387 0.0296384307 0.1282231776 0.0000007592 0.0000211869 0.0001041539 0.0002216019 0.0000000025 2.4734767360 0.0234280892 1.4154041997 0.0301391122
0.39000 0.0006969808 0.0286810914 0.1248760423 0.0000008865 0.0000186137 0.0001023109 0.0001988329 0.0000000028 2.4510265509 0.0215841200 1.3770477859 0.0284165323
0.40000 0.0006828872 0.0277331021 0.1216433852 0.0000007012 0.0000200543 0.0001093593 0.0002423376 0.0000000021 2.4324686089 0.0230542848 1.3390834180 0.0327980968
0.41000 0.0006626882 0.0268734544 0.1184953899 0.0000008364 0.0000184117 0.0001090812 0.0002368943 0.0000000025 2.4159674864 0.0205872761 1.3042105804 0.0316995167
