#Empty integrating sphere. Lambertian reflectance. No ports for fluid.
#Length units in [mm]
#Reflectivity of interior wall: rho = 0.95
#Scattering coefficient: alpha_s = 3
#Anisotropy: g 0.9
#Refractive index interior medium: n = 1
#
#Source fiber:
# - core diameter: 2*a_s = 0.105
# - clad diameter: 2*b_s = 0.125
# - numerical aperture: NA_s = 0.22
#
#Pick-up fiber:
# - core diameter: 2*a_p = 0.105
# - clad diameter: 2*b_p = 0.125
# - numerical aperture: NA_p = 0.22
#
#Entrance radius: r_e = 2*b_p = 0.125
#Number of photons: N = 1000000
#Number of averages: N_avg = 100
#Number of alpha_s-values: N_alpha_s = 25
#Delta alpha_a: d_alpha_a = 0.04
#Seed: 9912
#
#alpha_a <eps_c> <eps_e> <eps_w> <eps_i> std_eps_c std_eps_e std_eps_w std_eps_i <<path>> std<path> <std_path> <<std_path>>
0.01000 0.0022351517 0.2071514188 0.6937134002 0.0000000000 0.0000434026 0.0004045836 0.0004089015 0.0000000000 8.7175902752 0.1687017319 8.8079239495 0.2161866665
0.05000 0.0016613741 0.1456407741 0.4975914815 0.0000000000 0.0000330667 0.0003066633 0.0003838004 0.0000000000 6.4781667090 0.1021138735 6.3428663570 0.1074842685
0.09000 0.0013119412 0.1102922297 0.3841627420 0.0000000000 0.0000317999 0.0002210265 0.0003200686 0.0000000000 5.2317322460 0.0909815004 4.9077319153 0.0714202013
0.13000 0.0010852967 0.0873875305 0.3103076584 0.0000000018 0.0000248621 0.0002070017 0.0002654937 0.0000000001 4.4560474043 0.0740057920 3.9810193589 0.0600359460
0.17000 0.0009109308 0.0714788170 0.2584899628 0.0000000148 0.0000221105 0.0001788125 0.0002563603 0.0000000004 3.9251186719 0.0525265525 3.3304906529 0.0483104896
0.21000 0.0007859484 0.0597692504 0.2200201414 0.0000000495 0.0000219885 0.0001641536 0.0002825889 0.0000000007 3.5521488234 0.0524822609 2.8502712510 0.0443190645
0.25000 0.0006873002 0.0508943563 0.1905374415 0.0000001255 0.0000210481 0.0001620260 0.0002474035 0.0000000012 3.2623123220 0.0467863317 2.4745422898 0.0407941481
0.29000 0.0006092916 0.0439534671 0.1670790516 0.0000002328 0.0000177297 0.0001531528 0.0002255596 0.0000000014 3.0417704002 0.0365513546 2.1797404705 0.0314455876
0.33000 0.0005376192 0.0383607634 0.1481458236 0.0000003530 0.0000158323 0.0001381961 0.0002226604 0.0000000016 2.8777668135 0.0375570429 1.9462518859 0.0375408282
0.37000 0.0004815849 0.0338029046 0.1323930719 0.0000005610 0.0000160608 0.0001215105 0.0002079340 0.0000000022 2.7371544708 0.0346884578 1.7498262328 0.0320553871
0.41000 0.0004300430 0.0300523213 0.1192626301 0.0000007441 0.0000144305 0.0001179224 0.0001930823 0.0000000028 2.6297146630 0.0313534890 1.5911183574 0.0283764451
0.45000 0.0003875014 0.0269052121 0.1080263391 0.0000008794 0.0000140403 0.0001124023 0.0001988174 0.0000000023 2.5377950249 0.0324389574 1.4586550900 0.0286051538
0.49000 0.0003500352 0.0242493392 0.0983695618 0.0000010200 0.0000132412 0.0001019647 0.0001931058 0.0000000023 2.4629992496 0.0273177092 1.3429399610 0.0236672243
0.53000 0.0003181226 0.0219396111 0.0899965734 0.0000013664 0.0000112290 0.0000899179 0.0001913482 0.0000000034 2.3921352491 0.0312329759 1.2466089449 0.0282256797
0.57000 0.0002893638 0.0199915163 0.0826810456 0.0000014119 0.0000107284 0.0000966773 0.0001658874 0.0000000034 2.3380411614 0.0288762298 1.1610328344 0.0293469121
0.61000 0.0002633315 0.0182698657 0.0761866723 0.0000016041 0.0000089851 0.0000869069 0.0001567133 0.0000000033 2.2841728461 0.0249190507 1.0876160950 0.0275353230
0.65000 0.0002412897 0.0168051042 0.0704618099 0.0000019752 0.0000100845 0.0000831696 0.0001725826 0.0000000038 2.2403318433 0.0266087043 1.0244390941 0.0249842743
0.69000 0.0002209064 0.0155133437 0.0652938771 0.0000021480 0.0000091114 0.0000601181 0.0001519807 0.0000000034 2.2024090508 0.0267913072 0.9672413921 0.0262722942
0.73000 0.0002033750 0.0143415554 0.0607024638 0.0000024608 0.0000081717 0.0000705645 0.0001419965 0.0000000037 2.1640262083 0.0283080030 0.9165203764 0.0262039562
0.77000 0.0001857796 0.0133533807 0.0565411540 0.0000023875 0.0000076952 0.0000695373 0.0001236378 0.0000000039 2.1310527040 0.0264780388 0.8790974517 0.0253379907
0.81000 0.0001696462 0.0124476760 0.0527953590 0.0000024313 0.0000068389 0.0000644328 0.0001309120 0.0000000037 2.1083569784 0.0272443882 0.8409988958 0.0242775620
0.85000 0.0001560765 0.0116308094 0.0493767462 0.0000025416 0.0000062292 0.0000689337 0.0001298511 0.0000000034 2.0813345928 0.0281773093 0.8032622413 0.0284447407
0.89000 0.0001438364 0.0109091320 0.0462457652 0.0000027798 0.0000067306 0.0000634705 0.0001185064 0.0000000040 2.0550679414 0.0299719032 0.7788861255 0.0259713361
0.93000 0.0001320046 0.0102710465 0.0434213412 0.0000031827 0.0000063841 0.0000620429 0.0001220378 0.0000000040 2.0278895311 0.0273822780 0.7601598954 0.0278698065
0.97000 0.0001213854 0.0096945967 0.0407984816 0.0000028717 0.0000048436 0.0000583987 0.0001191013 0.0000000044 2.0035996437 0.0304903625 0.7401961497 0.0293935455
